peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
2910,388.071806037,0.010773018416755558,0.09589462427302367,25.0,N1O1,H9_C28_13C_N_O,0,29,9,1,1,0
2967,390.087446037,0.005823799725998312,0.06957414374293128,24.0,N1O1,H11_C28_13C_N_O,0,29,11,1,1,0
3438,406.11875603699997,0.0017946605058414935,0.09108665739096516,23.0,N1O1,H15_C29_13C_N_O,0,30,15,1,1,0
3656,414.087456037,0.009494006844986832,0.08969119802152384,26.0,N1O1,H11_C30_13C_N_O,0,31,11,1,1,0
3720,416.103106037,0.005950184268663205,0.08907888325428526,25.0,N1O1,H13_C30_13C_N_O,0,31,13,1,1,0
3788,418.11875603699997,0.0033972165068323484,0.08847247213161064,24.0,N1O1,H15_C30_13C_N_O,0,31,15,1,1,0
4847,454.11875603699997,0.002992785970304688,0.08145886841144524,27.0,N1O1,H15_C33_13C_N_O,0,34,15,1,1,0
5505,476.103106037,8.897471803608533E-4,0.0778528842480075,30.0,N1O1,H13_C35_13C_N_O,0,36,13,1,1,0
5634,480.134406037,0.0010363532498521301,0.07689096975233398,28.0,N1O1,H17_C35_13C_N_O,0,36,17,1,1,0
5689,482.150066037,0.0010110763413191514,0.09715647337394585,27.0,N1O1,H19_C35_13C_N_O,0,36,19,1,1,0
5861,488.103106037,8.189718364685126E-4,0.07593887345925979,31.0,N1O1,H13_C36_13C_N_O,0,37,13,1,1,0
10055,647.600466037,7.330303474563848E-4,-0.07792150042595057,7.0,N1O1,H77_C45_N_O,0,45,77,1,1,0
10632,671.600576037,0.0015115591302721312,0.08865090663088175,9.0,N1O1,H77_C47_N_O,0,47,77,1,1,0
11074,689.647446037,7.532518742827677E-4,-0.029992135997526346,7.0,N1O1,H83_C48_N_O,0,48,83,1,1,0
11376,701.647516037,8.189718364685126E-4,0.07028600375243806,8.0,N1O1,H83_C49_N_O,0,49,83,1,1,0
12029,726.275156037,0.001081851685211492,-0.08777389614129287,38.0,N1O1,H35_C54_13C_N_O,0,55,35,1,1,0
12628,749.647466037,7.532518742827677E-4,-9.124289394313769E-4,12.0,N1O1,H83_C53_N_O,0,53,83,1,1,0
13047,765.678836037,9.706332876663852E-4,0.09033552545320485,11.0,N1O1,H87_C54_N_O,0,54,87,1,1,0
13228,772.259576037,0.001102073212037875,0.008191546138332229,43.0,N1O1,H33_C58_13C_N_O,0,59,33,1,1,0
13477,782.337876037,8.594148901212787E-4,0.07152408402661092,38.0,N1O1,H43_C58_13C_N_O,0,59,43,1,1,0
13576,786.275216037,0.0012335131364093648,-0.004766778956460378,43.0,N1O1,H35_C59_13C_N_O,0,60,35,1,1,0
13626,788.290906037,0.00100096557790596,0.045894224685709584,42.0,N1O1,H37_C59_13C_N_O,0,60,37,1,1,0
13759,794.243906037,0.0010060209596125557,-0.017123203588613935,46.0,N1O1,H31_C60_13C_N_O,0,61,31,1,1,0
13985,804.322156037,0.0010312978681455344,-0.017368662481428775,41.0,N1O1,H41_C60_13C_N_O,0,61,41,1,1,0
14077,808.353436037,0.0010110763413191514,-0.042206785435054885,39.0,N1O1,H45_C60_13C_N_O,0,61,45,1,1,0
14155,812.290876037,9.756886693729811E-4,0.00760564977851374,44.0,N1O1,H37_C61_13C_N_O,0,62,37,1,1,0
14276,818.337806037,8.189718364685126E-4,-0.017161617078137265,41.0,N1O1,H43_C61_13C_N_O,0,62,43,1,1,0
14529,833.177996037,8.493041267080871E-4,0.037850255392797474,54.0,N1O1,H23_C65_N_O,0,65,23,1,1,0
1178,310.991376037,7.684180194025551E-4,0.09788695883694071,9.0,N1O10,H5_C11_N_O10,0,11,5,10,1,0
1342,319.053976037,7.785287828157466E-4,0.09448557998339611,5.0,N1O10,H13_C11_N_O10,0,11,13,10,1,0
1441,325.006986037,0.0016531098180568124,-0.029636286033712662,9.0,N1O10,H7_C12_N_O10,0,12,7,10,1,0
1486,327.022646037,0.0018553250863206428,8.990203607702995E-4,8.0,N1O10,H9_C12_N_O10,0,12,9,10,1,0
1530,329.038296037,0.0023608632569802183,6.686151935557317E-4,7.0,N1O10,H11_C12_N_O10,0,12,11,10,1,0
1576,331.053946037,0.0013902299693138332,4.410157091058945E-4,6.0,N1O10,H13_C12_N_O10,0,12,13,10,1,0
1696,337.007006037,0.0026338538691363894,0.030764939064983655,10.0,N1O10,H7_C13_N_O10,0,13,7,10,1,0
1741,339.022656037,0.0027855153203342623,0.030363752417918673,9.0,N1O10,H9_C13_N_O10,0,13,9,10,1,0
1791,341.038306037,0.004377960557911925,0.029967308064319506,8.0,N1O10,H11_C13_N_O10,0,13,11,10,1,0
1841,343.053956037,0.004069582273809584,0.02957552241263746,7.0,N1O10,H13_C13_N_O10,0,13,13,10,1,0
1860,344.057316037,8.796364169476617E-4,0.04448677388777956,7.0,N1O10,H13_C12_13C_N_O10,0,13,13,10,1,0
1889,345.06960603699997,0.0018755466131470258,0.02918831398918245,6.0,N1O10,H15_C13_N_O10,0,13,15,10,1,0
1938,347.085266037,0.0015418914205117058,0.05761696599510458,5.0,N1O10,H17_C13_N_O10,0,13,17,10,1,0
