peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
793,303.068536037,0.011719754284004059,0.40272738841983174,18.0,N1O1,H9_C22_N_O,0,22,9,1,1,0
2087,388.071936037,0.008376438465693784,0.4308840308096156,25.0,N1O1,H9_C28_13C_N_O,0,29,9,1,1,0
2517,414.087516037,0.009091546122860011,0.23458809134446032,26.0,N1O1,H11_C30_13C_N_O,0,31,11,1,1,0
2555,416.102926037,0.007825378224092912,-0.3435063563652179,25.0,N1O1,H13_C30_13C_N_O,0,31,13,1,1,0
2833,432.13442603699997,0.007763202204676464,0.13171364420819662,24.0,N1O1,H17_C31_13C_N_O,0,32,17,1,1,0
2953,440.103066037,0.009002999527211676,-0.006666620112096792,27.0,N1O1,H13_C32_13C_N_O,0,33,13,1,1,0
2987,442.118676037,0.008615253577272617,-0.09727704869396478,26.0,N1O1,H15_C32_13C_N_O,0,33,15,1,1,0
3190,456.134376037,0.008455878458823866,0.015166583395460915,26.0,N1O1,H17_C33_13C_N_O,0,34,17,1,1,0
3404,470.14991603699997,0.006868022356471191,-0.21941086544382607,26.0,N1O1,H19_C34_13C_N_O,0,35,19,1,1,0
1524,355.054036037,0.008494444058794523,0.2538937481096969,8.0,N1O10,H13_C14_N_O10,0,14,13,10,1,0
1695,365.038326037,0.012386355399910554,0.0827858277599861,10.0,N1O10,H11_C15_N_O10,0,15,11,10,1,0
1728,367.054076037,0.009348134018025832,0.3545690090374771,9.0,N1O10,H13_C15_N_O10,0,15,13,10,1,0
1760,369.069746037,0.008564854044441052,0.4066223299661206,8.0,N1O10,H15_C15_N_O10,0,15,15,10,1,0
1792,371.085376037,0.007861388832548985,0.3503183050904913,7.0,N1O10,H17_C15_N_O10,0,15,17,10,1,0
1821,373.007056037,0.006754639820821892,0.16184144244891102,13.0,N1O10,H7_C16_N_O10,0,16,7,10,1,0
1827,373.100966037,0.007903020969444534,0.18741307679912456,6.0,N1O10,H19_C15_N_O10,0,15,19,10,1,0
1856,375.022586037,0.007679672583800877,-0.15920641109315464,12.0,N1O10,H9_C16_N_O10,0,16,9,10,1,0
1928,379.053986037,0.01374475192706542,0.10591103505647254,10.0,N1O10,H13_C16_N_O10,0,16,13,10,1,0
1967,381.069496037,0.013646215150462849,-0.26223038311840213,9.0,N1O10,H15_C16_N_O10,0,16,15,10,1,0
2001,383.085156037,0.01036549388872291,-0.2349399307634498,8.0,N1O10,H17_C16_N_O10,0,16,17,10,1,0
2035,385.100986037,0.007730411323214677,0.2335075818253769,7.0,N1O10,H19_C16_N_O10,0,16,19,10,1,0
2102,389.038286037,0.010831251881502317,-0.025138914031390937,12.0,N1O10,H11_C17_N_O10,0,17,11,10,1,0
2140,391.053946037,0.013466487637079945,3.7335000002786865E-4,11.0,N1O10,H13_C17_N_O10,0,17,13,10,1,0
2177,393.069616037,0.019642380846794438,0.051064745840945114,10.0,N1O10,H15_C17_N_O10,0,17,15,10,1,0
2209,395.085306037,0.01426051827089204,0.15186087426327455,9.0,N1O10,H17_C17_N_O10,0,17,17,10,1,0
2245,397.100886037,0.008746945061751792,-0.025373904519293885,8.0,N1O10,H19_C17_N_O10,0,17,19,10,1,0
2275,399.116556037,0.007041540200969614,0.02467950747043697,7.0,N1O10,H21_C17_N_O10,0,17,21,10,1,0
2303,401.038326037,0.00939758705507148,0.07535439388978653,13.0,N1O10,H11_C18_N_O10,0,18,11,10,1,0
2337,403.053926037,0.011057699630514306,-0.04925891731361495,12.0,N1O10,H13_C18_N_O10,0,18,13,10,1,0
2375,405.069476037,0.01863666342137152,-0.29606772922063546,11.0,N1O10,H15_C18_N_O10,0,18,15,10,1,0
2411,407.085256037,0.013590604419734838,0.024559965873572464,10.0,N1O10,H17_C18_N_O10,0,18,17,10,1,0
