peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
1905,387.022626037,9.744840087566309E-4,-0.050916919744232486,13.0,N1O10,H9_C17_N_O10,0,17,9,10,1,0
2098,409.007006037,0.0017979916217904035,0.025349199041013404,16.0,N1O10,H7_C19_N_O10,0,19,7,10,1,0
2119,411.022656037,0.002398956106063859,0.02504484811427526,15.0,N1O10,H9_C19_N_O10,0,19,9,10,1,0
2213,421.006976037,0.0013872181814795098,-0.04663105610233653,17.0,N1O10,H7_C20_N_O10,0,20,7,10,1,0
2233,423.022666037,0.0017058371984271002,0.0479737887657147,16.0,N1O10,H9_C20_N_O10,0,20,9,10,1,0
2255,425.038306037,0.0011578124892772446,0.024044891696651482,15.0,N1O10,H11_C20_N_O10,0,20,11,10,1,0
2333,433.007026037,0.001095069052093719,0.07013281134564699,18.0,N1O10,H7_C21_N_O10,0,21,7,10,1,0
2350,435.022626037,0.0036450015538804365,-0.04529879323438219,17.0,N1O10,H9_C21_N_O10,0,21,9,10,1,0
2369,437.038286037,0.0014215309986892503,-0.0223779020814035,16.0,N1O10,H11_C21_N_O10,0,21,11,10,1,0
2440,445.007036037,0.0012823189974383031,0.09071317254361035,19.0,N1O10,H7_C22_N_O10,0,22,7,10,1,0
2454,447.022656037,0.0023715058522960665,0.023027915594328704,18.0,N1O10,H9_C22_N_O10,0,22,9,10,1,0
2471,449.03826603699997,0.0016538777895094931,-0.06631951490444882,17.0,N1O10,H11_C22_N_O10,0,22,11,10,1,0
2495,451.053926037,9.156620363970757E-4,-0.044016909884863384,16.0,N1O10,H13_C22_N_O10,0,22,13,10,1,0
2570,459.022646037,0.004427333786262521,6.404913129199807E-4,19.0,N1O10,H9_C23_N_O10,0,23,9,10,1,0
2586,461.038286037,0.0035165735808954076,-0.021212988740756163,18.0,N1O10,H11_C23_N_O10,0,23,11,10,1,0
2680,471.022636037,0.0033763812134384673,-0.02060622838859314,20.0,N1O10,H9_C24_N_O10,0,24,9,10,1,0
2700,473.038316037,0.00291855019523993,0.04274495190280137,19.0,N1O10,H11_C24_N_O10,0,24,11,10,1,0
2716,475.053986037,0.0012431043491985996,0.08450828997008679,18.0,N1O10,H13_C24_N_O10,0,24,13,10,1,0
2783,483.022656037,0.0028989428711200783,0.02131162972029233,21.0,N1O10,H9_C25_N_O10,0,25,9,10,1,0
2799,485.038286037,0.005571421148655869,-0.0201633566922475,20.0,N1O10,H11_C25_N_O10,0,25,11,10,1,0
2816,487.053956037,0.0015960361833559308,0.020831367530757677,19.0,N1O10,H13_C25_N_O10,0,25,13,10,1,0
2880,495.022646037,0.003794997583397302,5.939122574975428E-4,22.0,N1O10,H9_C26_N_O10,0,26,9,10,1,0
2897,497.03826603699997,0.004009697782509678,-0.05991490396615021,21.0,N1O10,H11_C26_N_O10,0,26,11,10,1,0
2915,499.053946037,0.0018734798196518327,2.9255352436986364E-4,20.0,N1O10,H13_C26_N_O10,0,26,13,10,1,0
2987,507.022676037,0.0021038658780600907,0.05974880696679182,23.0,N1O10,H9_C27_N_O10,0,27,9,10,1,0
3000,509.038306037,0.004070480487281219,0.020077074582369486,22.0,N1O10,H11_C27_N_O10,0,27,11,10,1,0
3017,511.053966037,0.002505816022517051,0.03942049438210118,21.0,N1O10,H13_C27_N_O10,0,27,13,10,1,0
3087,519.022636037,0.0026460083899739906,-0.018700533156869262,24.0,N1O10,H9_C28_N_O10,0,28,9,10,1,0
3103,521.038296037,0.004459685871060276,4.2223395575480526E-4,23.0,N1O10,H11_C28_N_O10,0,28,11,10,1,0
3122,523.053956037,0.002424445627419666,0.019397616450953573,22.0,N1O10,H13_C28_N_O10,0,28,13,10,1,0
3142,525.069626037,0.001111735277595593,0.0572724046128771,21.0,N1O10,H15_C28_N_O10,0,28,15,10,1,0
3204,533.038326037,0.0020019077926368613,0.05669385975199444,24.0,N1O10,H11_C29_N_O10,0,29,11,10,1,0
3218,535.053986037,0.0030665854923448105,0.07503168090376729,23.0,N1O10,H13_C29_N_O10,0,29,13,10,1,0
3230,537.069616037,0.0010117379245843492,0.03737318102631422,22.0,N1O10,H15_C29_N_O10,0,29,15,10,1,0
3274,545.038286037,0.0028146313774047157,-0.01794369343303906,25.0,N1O10,H11_C30_N_O10,0,30,11,10,1,0
3294,547.053936037,0.0028303172367005972,-0.01801284917574482,24.0,N1O10,H13_C30_N_O10,0,30,13,10,1,0
3306,549.069556037,0.0011695768837491557,-0.07271938416419306,23.0,N1O10,H15_C30_N_O10,0,30,15,10,1,0
3348,557.038306037,0.0015754484930300865,0.01834703273514018,26.0,N1O10,H11_C31_N_O10,0,31,11,10,1,0
3357,559.053956037,0.0020244562153746907,0.018148516637431975,25.0,N1O10,H13_C31_N_O10,0,31,13,10,1,0
3407,569.038306037,0.00161466314126979,0.017960126633238198,27.0,N1O10,H11_C32_N_O10,0,32,11,10,1,0
3415,571.053946037,0.0024097401343297774,2.556674985500119E-4,26.0,N1O10,H13_C32_N_O10,0,32,13,10,1,0
3426,573.069546037,0.0010009538963184307,-0.08712380599936186,25.0,N1O10,H15_C32_N_O10,0,32,15,10,1,0
3512,595.053976037,0.0014519223510750206,0.05066095041097592,28.0,N1O10,H13_C34_N_O10,0,34,13,10,1,0
3522,597.069576037,0.0013166318146480436,-0.033376344591858606,27.0,N1O10,H15_C34_N_O10,0,34,15,10,1,0
3580,619.053996037,0.0010166397556143122,0.081004242531469,30.0,N1O10,H13_C36_N_O10,0,36,13,10,1,0
