peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
2803,438.087426037,5.749862003311922E-4,0.016298116796303313,28.0,N1O1,H11_C32_13C_N_O,0,33,11,1,1,0
3065,464.103096037,6.399846403686312E-4,0.058318938746112506,29.0,N1O1,H13_C34_13C_N_O,0,35,13,1,1,0
1517,337.006996037,5.719862723294641E-4,0.001091965551979383,10.0,N1O10,H7_C13_N_O10,0,13,7,10,1,0
1870,361.007006037,0.002832932009631769,0.028719664249779838,12.0,N1O10,H7_C15_N_O10,0,15,7,10,1,0
1896,363.022616037,0.0010589745846099694,-0.08182961255972047,11.0,N1O10,H9_C15_N_O10,0,15,9,10,1,0
1918,365.038276037,5.609865363231282E-4,-0.05418609855683013,10.0,N1O10,H11_C15_N_O10,0,15,11,10,1,0
2020,373.006996037,7.379822884250779E-4,9.865767515308296E-4,13.0,N1O10,H7_C16_N_O10,0,16,7,10,1,0
2048,375.022656037,0.0017689575450189196,0.027449008283267705,12.0,N1O10,H9_C16_N_O10,0,16,9,10,1,0
2072,377.038286037,5.959856963432878E-4,-0.02593901041297455,11.0,N1O10,H11_C16_N_O10,0,16,11,10,1,0
2091,379.053966037,6.849835603945507E-4,0.053148105025091874,10.0,N1O10,H13_C16_N_O10,0,16,13,10,1,0
2110,381.069586037,6.55984256377847E-4,-0.026052984295129367,9.0,N1O10,H15_C16_N_O10,0,16,15,10,1,0
2158,385.007006037,0.0012689695447309266,0.026929380096019594,14.0,N1O10,H7_C17_N_O10,0,17,7,10,1,0
2210,389.038296037,0.0011139732646416487,5.654970377803205E-4,12.0,N1O10,H11_C17_N_O10,0,17,11,10,1,0
2258,393.069596037,7.859811364527253E-4,1.831737562633532E-4,10.0,N1O10,H15_C17_N_O10,0,17,15,10,1,0
2280,395.085256037,5.469868723150644E-4,0.025305930411553774,9.0,N1O10,H17_C17_N_O10,0,17,17,10,1,0
2305,397.100926037,7.549818804348696E-4,0.07535615780225738,8.0,N1O10,H19_C17_N_O10,0,17,19,10,1,0
2327,399.022646037,0.001609961360927338,7.368003298564164E-4,14.0,N1O10,H9_C18_N_O10,0,18,9,10,1,0
2361,401.038286037,0.0018289561050534788,-0.024386699145980073,13.0,N1O10,H11_C18_N_O10,0,18,11,10,1,0
2393,403.053966037,0.0011359727366543205,0.049983381121878605,12.0,N1O10,H13_C18_N_O10,0,18,13,10,1,0
2417,405.069596037,7.719814724446614E-4,1.7774731819773383E-4,11.0,N1O10,H15_C18_N_O10,0,18,15,10,1,0
2438,407.085216037,6.759837763893667E-4,-0.07369955683693125,10.0,N1O10,H17_C18_N_O10,0,18,17,10,1,0
2456,409.007036037,0.00102897530459269,0.09869756857348971,16.0,N1O10,H7_C19_N_O10,0,19,7,10,1,0
2477,411.022636037,0.002850931577642137,-0.023614271242963555,15.0,N1O10,H9_C19_N_O10,0,19,9,10,1,0
2482,411.116556037,5.889858643392559E-4,0.023959142198602505,8.0,N1O10,H21_C18_N_O10,0,18,21,10,1,0
2508,413.038336037,0.0019239538251081974,0.09737594917360325,14.0,N1O10,H11_C19_N_O10,0,19,11,10,1,0
2534,415.053976037,0.001220970696703279,0.0726315171335141,13.0,N1O10,H13_C19_N_O10,0,19,13,10,1,0
2588,419.08527603699997,6.59984160380151E-4,0.07157970384709875,11.0,N1O10,H17_C19_N_O10,0,19,17,10,1,0
2627,423.022646037,0.0014229658488196285,6.949982937663502E-4,16.0,N1O10,H9_C20_N_O10,0,20,9,10,1,0
2632,423.116506037,6.279849283617193E-4,-0.09489112178668908,9.0,N1O10,H21_C19_N_O10,0,19,21,10,1,0
2652,425.038326037,0.0016249610009359777,0.07109947077879623,15.0,N1O10,H11_C20_N_O10,0,20,11,10,1,0
2679,427.053976037,0.0014439653448317241,0.07059060836200401,14.0,N1O10,H13_C20_N_O10,0,20,13,10,1,0
2707,429.069586037,9.38977464540851E-4,-0.023138437827931454,13.0,N1O10,H15_C20_N_O10,0,20,15,10,1,0
2733,431.085256037,9.879762885690745E-4,0.02319262830165534,12.0,N1O10,H17_C20_N_O10,0,20,17,10,1,0
2770,435.022646037,0.0024269417533979184,6.758269251004374E-4,17.0,N1O10,H9_C21_N_O10,0,21,9,10,1,0
2774,435.116556037,6.53984304376695E-4,0.02263761271886893,10.0,N1O10,H21_C20_N_O10,0,20,21,10,1,0
2792,437.038306037,0.0020009519771525485,0.02338467794336234,16.0,N1O10,H11_C21_N_O10,0,21,11,10,1,0
2812,439.053986037,0.001091973792628977,0.09143750263111647,15.0,N1O10,H13_C21_N_O10,0,21,13,10,1,0
2836,441.069586037,8.00980776461365E-4,-0.02250891980464185,14.0,N1O10,H15_C21_N_O10,0,21,15,10,1,0
2903,447.022676037,0.0011449725206595042,0.06776837422854476,18.0,N1O10,H9_C22_N_O10,0,22,9,10,1,0
2923,449.038296037,0.0016829596089693848,4.899360762257082E-4,17.0,N1O10,H11_C22_N_O10,0,22,11,10,1,0
2944,451.05393603699997,0.0014179659688167486,-0.021846611355196575,16.0,N1O10,H13_C22_N_O10,0,22,13,10,1,0
2963,453.069616037,9.139780645264513E-4,0.04430224259198195,15.0,N1O10,H15_C22_N_O10,0,22,15,10,1,0
