peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
1129,426.087526037,0.008463867669325591,0.25145068434164203,27.0,N1O1,H11_C31_13C_N_O,0,32,11,1,1,0
451,323.040436037,0.006791933058371632,-0.1539931054928953,17.0,N1O1S1,H9_C21_N_O_S,0,21,9,1,1,1
518,335.040416037,0.008053992888120004,-0.20817189990524174,18.0,N1O1S1,H9_C22_N_O_S,0,22,9,1,1,1
529,337.055976037,0.008720722325269673,-0.47416456412953367,17.0,N1O1S1,H11_C22_N_O_S,0,22,11,1,1,1
583,345.024666037,0.011940707173933623,-0.49176773915573524,20.0,N1O1S1,H7_C23_N_O_S,0,23,7,1,1,1
595,347.040316037,0.01060494810868553,-0.4891247272500329,19.0,N1O1S1,H9_C23_N_O_S,0,23,9,1,1,1
608,349.056036037,0.0075463615436780745,-0.28597127578453585,18.0,N1O1S1,H11_C23_N_O_S,0,23,11,1,1,1
683,359.040476037,0.014024043818383031,-0.02714457166499451,20.0,N1O1S1,H9_C24_N_O_S,0,24,9,1,1,1
699,361.055986037,0.017624795633776922,-0.41494949738318326,19.0,N1O1S1,H11_C24_N_O_S,0,24,11,1,1,1
766,371.040306037,0.010796522041752047,-0.48443793580753053,21.0,N1O1S1,H9_C25_N_O_S,0,25,9,1,1,1
802,377.087296037,0.00745989485153568,-0.37118195562656414,18.0,N1O1S1,H15_C25_N_O_S,0,25,15,1,1,1
842,383.040346037,0.012368412315206198,-0.36483363016741666,22.0,N1O1S1,H9_C26_N_O_S,0,26,9,1,1,1
877,387.071616037,0.01343954698369411,-0.43892135954649586,20.0,N1O1S1,H13_C26_N_O_S,0,26,13,1,1,1
929,395.040506037,0.007227774232676166,0.05127069183832909,23.0,N1O1S1,H9_C27_N_O_S,0,27,9,1,1,1
961,399.071686037,0.010490264499236573,-0.2503159293284474,21.0,N1O1S1,H13_C27_N_O_S,0,27,13,1,1,1
1004,405.118576037,0.008238073351617978,-0.39523243162624333,18.0,N1O1S1,H19_C27_N_O_S,0,27,19,1,1,1
1022,409.056116037,0.0076697182077974995,-0.04845300974659279,23.0,N1O1S1,H11_C28_N_O_S,0,28,11,1,1,1
1064,415.102936037,0.0106553443300796,-0.3614573323632433,20.0,N1O1S1,H17_C28_N_O_S,0,28,17,1,1,1
817,379.066596037,0.0071380140147623465,-0.2757668468757138,18.0,N1O2S1,H13_C24_N_O2_S,0,24,13,2,1,1
875,387.035236037,0.009335810768325611,-0.42473135423232306,21.0,N1O2S1,H9_C25_N_O2_S,0,25,9,2,1,1
891,389.050966037,0.013255832812411997,-0.2170923794015834,20.0,N1O2S1,H11_C25_N_O2_S,0,25,11,2,1,1
902,391.066696037,0.00920530830182558,-0.011593930181429993,19.0,N1O2S1,H13_C25_N_O2_S,0,25,13,2,1,1
977,401.050876037,0.00944176855219165,-0.4350071533306093,21.0,N1O2S1,H11_C26_N_O2_S,0,26,11,2,1,1
