peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
1593,426.087516037,0.015990170123825767,0.22798133336592083,27.0,N1O1,H11_C31_13C_N_O,0,32,11,1,1,0
638,355.053876037,0.014204467832029128,-0.19674197274712749,8.0,N1O10,H13_C14_N_O10,0,14,13,10,1,0
768,367.053946037,0.017153307307147713,3.977616705667971E-4,9.0,N1O10,H13_C15_N_O10,0,15,13,10,1,0
793,369.06969603699997,0.01921619329258807,0.2711466183320685,8.0,N1O10,H15_C15_N_O10,0,15,15,10,1,0
872,375.02268603699997,0.016410180157372507,0.107444166641956,12.0,N1O10,H9_C16_N_O10,0,16,9,10,1,0
902,377.038276037,0.01961193187417239,-0.05246151719730219,11.0,N1O10,H11_C16_N_O10,0,16,11,10,1,0
930,379.053906037,0.026063497805090454,-0.10514071847618035,10.0,N1O10,H13_C16_N_O10,0,16,13,10,1,0
957,381.069526037,0.021176343233385873,-0.1835045711648655,9.0,N1O10,H15_C16_N_O10,0,16,15,10,1,0
980,383.085256037,0.018577465413358377,0.02609862906062242,8.0,N1O10,H17_C16_N_O10,0,16,17,10,1,0
1028,387.022576037,0.016053079732897057,-0.18010835618517768,13.0,N1O10,H9_C17_N_O10,0,17,9,10,1,0
1055,389.038336037,0.02354449668201081,0.10338312780790682,12.0,N1O10,H11_C17_N_O10,0,17,11,10,1,0
1082,391.053986037,0.029017834660354375,0.10266101724292845,11.0,N1O10,H13_C17_N_O10,0,17,13,10,1,0
1112,393.069596037,0.03237993300042017,1.831737562633532E-4,10.0,N1O10,H15_C17_N_O10,0,17,15,10,1,0
1139,395.085146037,0.023466907375610024,-0.2531150589023291,9.0,N1O10,H17_C17_N_O10,0,17,17,10,1,0
1165,397.101006037,0.02550320358326699,0.27681622142295503,8.0,N1O10,H19_C17_N_O10,0,17,19,10,1,0
1195,399.116586037,0.016153239051195423,0.09984551231778835,7.0,N1O10,H21_C17_N_O10,0,17,21,10,1,0
