peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
1681,376.071786037,0.004449864150781935,0.045773175929847476,24.0,N1O1,H9_C27_13C_N_O,0,28,9,1,1,0
2056,402.087436037,0.004899129281389727,0.042627544347638165,25.0,N1O1,H11_C29_13C_N_O,0,30,11,1,1,0
2437,426.087446037,0.008129559506236228,0.06369584529025163,27.0,N1O1,H11_C31_13C_N_O,0,32,11,1,1,0
2471,428.103106037,0.006118563207325162,0.08658194598852519,26.0,N1O1,H13_C31_13C_N_O,0,32,13,1,1,0
2640,438.087446037,0.008921121879211862,0.061951101973826014,28.0,N1O1,H11_C32_13C_N_O,0,33,11,1,1,0
2851,450.087456037,0.009584322786299554,0.0825172964042581,29.0,N1O1,H11_C33_13C_N_O,0,34,11,1,1,0
2886,452.103106037,0.006075776052029182,0.08198572296776464,28.0,N1O1,H13_C33_13C_N_O,0,34,13,1,1,0
3101,464.103106037,0.00562651092142139,0.07986587360063986,29.0,N1O1,H13_C34_13C_N_O,0,35,13,1,1,0
7537,759.631856037,0.004535438461373896,0.05185406545354596,14.0,N1O1,H81_C54_N_O,0,54,81,1,1,0
971,327.022666037,0.004535438461373896,0.06205686067421519,8.0,N1O10,H9_C12_N_O10,0,12,9,10,1,0
1002,329.038326037,0.007359390710908586,0.09184340422913082,7.0,N1O10,H11_C12_N_O10,0,12,11,10,1,0
1029,331.053966037,0.0058832338531972705,0.06085412671014635,6.0,N1O10,H13_C12_N_O10,0,12,13,10,1,0
1058,333.069616037,0.004214534796654045,0.06026367784474683,5.0,N1O10,H15_C12_N_O10,0,12,15,10,1,0
1107,337.006986037,0.006632009070876923,-0.02858100989066705,10.0,N1O10,H7_C13_N_O10,0,13,7,10,1,0
1132,339.022646037,0.005220032946109579,8.67198756947214E-4,9.0,N1O10,H9_C13_N_O10,0,13,9,10,1,0
1162,341.038306037,0.010333098003979206,0.029967308064319506,8.0,N1O10,H11_C13_N_O10,0,13,11,10,1,0
1194,343.053966037,0.009691290674539504,0.05872545427718286,7.0,N1O10,H13_C13_N_O10,0,13,13,10,1,0
1225,345.069616037,0.007295209977964615,0.058167972802841826,6.0,N1O10,H15_C13_N_O10,0,13,15,10,1,0
1289,349.100916037,0.005990201741437221,0.057072322354373844,4.0,N1O10,H19_C13_N_O10,0,13,19,10,1,0
1313,351.022636037,0.01189482917228248,-0.02765063849999842,10.0,N1O10,H9_C14_N_O10,0,14,9,10,1,0
1320,351.116566037,0.0054767558778854595,0.05653393180813602,3.0,N1O10,H21_C13_N_O10,0,13,21,10,1,0
1340,353.038296037,0.011531138352266651,6.231618678812394E-4,9.0,N1O10,H11_C14_N_O10,0,14,11,10,1,0
1371,355.053946037,0.012750572278202085,4.1120509261597537E-4,8.0,N1O10,H13_C14_N_O10,0,14,13,10,1,0
1405,357.06960603699997,0.013756070427657618,0.02820738544766471,7.0,N1O10,H15_C14_N_O10,0,14,15,10,1,0
1437,359.085266037,0.00872857968037995,0.05569150801245928,6.0,N1O10,H17_C14_N_O10,0,14,17,10,1,0
1462,361.006986037,0.00564790449906938,-0.026680924119734887,12.0,N1O10,H7_C15_N_O10,0,15,7,10,1,0
1494,363.022646037,0.010397278736923176,8.098668786362068E-4,11.0,N1O10,H9_C15_N_O10,0,15,9,10,1,0
1523,365.038296037,0.01382025116060159,6.026765037543565E-4,10.0,N1O10,H11_C15_N_O10,0,15,11,10,1,0
1547,367.053946037,0.016194938279528486,3.977616705667971E-4,9.0,N1O10,H13_C15_N_O10,0,15,13,10,1,0
1579,369.06960603699997,0.014141154825321441,0.027290245103850964,8.0,N1O10,H15_C15_N_O10,0,15,15,10,1,0
1610,371.085266037,0.013306805297049825,0.0538905793383392,7.0,N1O10,H17_C15_N_O10,0,15,17,10,1,0
1631,373.006996037,0.004214534796654045,9.865767515308296E-4,13.0,N1O10,H7_C16_N_O10,0,16,7,10,1,0
1662,375.022626037,0.010760969556939008,-0.0525461628738737,12.0,N1O10,H9_C16_N_O10,0,16,9,10,1,0
1694,377.038286037,0.01632329974541643,-0.02593901041297455,11.0,N1O10,H11_C16_N_O10,0,16,11,10,1,0
1702,377.132186037,0.006182743940269132,-0.027109857953845407,4.0,N1O10,H23_C15_N_O10,0,15,23,10,1,0
1726,379.053946037,0.015831247459512653,3.85169425856764E-4,10.0,N1O10,H13_C16_N_O10,0,16,13,10,1,0
1754,381.069616037,0.016558629099544316,0.05267279047190788,9.0,N1O10,H15_C16_N_O10,0,16,15,10,1,0
1781,383.085236037,0.014761568577113153,-0.026109072001613262,8.0,N1O10,H17_C16_N_O10,0,16,17,10,1,0
1809,385.100916037,0.010867937445178957,0.05173708808409219,7.0,N1O10,H19_C16_N_O10,0,16,19,10,1,0
1829,387.022666037,0.009498748475707594,0.052436205433064674,13.0,N1O10,H9_C17_N_O10,0,17,9,10,1,0
1838,387.116556037,0.0074877521767965265,0.025444533106842294,6.0,N1O10,H21_C16_N_O10,0,16,21,10,1,0
1860,389.038296037,0.014183941980617419,5.654970377803205E-4,12.0,N1O10,H11_C17_N_O10,0,17,11,10,1,0
1868,389.132216037,0.006161350362621142,0.05082077292190596,5.0,N1O10,H23_C16_N_O10,0,16,23,10,1,0
1890,391.053946037,0.017050681385448088,3.7335000002786865E-4,11.0,N1O10,H13_C17_N_O10,0,17,13,10,1,0
1907,392.057326037,0.004535438461373896,0.064546683143318,11.0,N1O10,H13_C16_13C_N_O10,0,17,13,10,1,0
1921,393.069596037,0.019382581349079008,1.831737562633532E-4,10.0,N1O10,H15_C17_N_O10,0,17,15,10,1,0
1938,394.072936037,0.003957811864878163,-0.037475296265489844,10.0,N1O10,H15_C16_13C_N_O10,0,17,15,10,1,0
1949,395.085256037,0.015082472241833001,0.025305930411553774,9.0,N1O10,H17_C17_N_O10,0,17,17,10,1,0
1965,396.088596037,0.004278715529598015,-0.012224537788454944,9.0,N1O10,H17_C16_13C_N_O10,0,17,17,10,1,0
1978,397.100916037,0.01416254840296943,0.050173644052773816,8.0,N1O10,H19_C17_N_O10,0,17,19,10,1,0
1993,398.104246037,0.004128960486062085,-0.012348524468140666,8.0,N1O10,H19_C16_13C_N_O10,0,17,19,10,1,0
2000,399.022656037,0.009113664078043772,0.02579803386156134,14.0,N1O10,H9_C18_N_O10,0,18,9,10,1,0
2010,399.116556037,0.01131720257578675,0.02467950747043697,7.0,N1O10,H21_C17_N_O10,0,17,21,10,1,0
2031,401.038296037,0.016173544701880496,5.485760491355409E-4,13.0,N1O10,H11_C18_N_O10,0,18,11,10,1,0
2040,401.132216037,0.00838628243801211,0.04930045306056972,6.0,N1O10,H23_C17_N_O10,0,17,23,10,1,0
