mass,I
187.04008,1
191.034994,1
193.050644,1
195.029907,1
197.009171,1
199.024811,1
200.986315,1
201.092111,1
203.034987,1
203.071369,1
203.107763,1
205.014255,1
205.050636,1
205.087037,1
207.029901,1
207.102674,1
209.009165,1
209.060805,1
209.081934,1
209.118319,1
209.118323,1
211.024811,1
211.0612,1
211.097591,1
213.019332,1
213.040461,1
213.055718,1
213.076858,1
213.092103,1
213.113228,1
215.034983,1
215.07137,1
215.092505,1
215.107759,1
217.014246,1
217.050632,1
217.071772,1
218.022075,1
219.029899,1
219.06628,1
219.102669,1
219.13905,1
220.03773,1
221.00916,1
221.045543,1
221.081932,1
221.118316,1
221.15471,1
222.016996,1
222.988422,1
223.024816,1
223.024818,1
223.040066,1
223.061204,1
223.076452,1
223.097584,1
223.13396,1
224.032642,1
224.032645,1
225.040459,1
225.076845,1
225.092101,1
225.113232,1
226.011897,1
226.027163,1
227.019725,1
227.027353,1
227.034977,1
227.056108,1
227.071368,1
227.092496,1
227.107751,1
228.027562,1
228.042801,1
229.014247,1
229.035374,1
229.050631,1
229.071758,1
229.087012,1
229.108145,1
229.1234,1
230.022066,1
230.022073,1
231.029894,1
231.051021,1
231.066286,1
231.102668,1
231.13905,1
232.037723,1
232.037725,1
232.061531,1
233.00916,1
233.045544,1
233.081932,1
233.118314,1
233.154699,1
234.016983,1
234.035163,1
234.053371,1
234.053375,1
234.988418,1
235.02481,1
235.040066,1
235.061191,1
235.076449,1
235.097575,1
235.097581,1
235.133972,1
235.133975,1
235.996244,1
235.996247,1
236.056448,1
237.004079,1
237.004082,1
237.040463,1
237.040468,1
237.055713,1
237.076847,1
237.092101,1
237.11323,1
237.149619,1
237.149622,1
238.011897,1
238.011902,1
238.048291,1
238.063535,1
238.080201,1
239.019725,1
239.034977,1
239.056109,1
239.056112,1
239.071363,1
239.09249,1
239.092495,1
239.107756,1
239.128877,1
239.12888,1
240.042806,1
240.095853,1
241.014246,1
241.02481,1
241.035375,1
241.050632,1
241.071754,1
241.087014,1
241.108145,1
241.123406,1
242.022069,1
242.075114,1
242.111513,1
243.014644,1
243.029896,1
243.051018,1
243.051022,1
243.058657,1
243.066277,1
243.087411,1
243.087415,1
243.102665,1
243.123799,1
243.13905,1
244.030108,1
244.037719,1
244.069634,1
245.009157,1
245.00916,1
245.030292,1
245.030298,1
245.037917,1
245.045544,1
245.066675,1
245.081924,1
245.118313,1
246.016982,1
246.035173,1
246.053369,1
246.085283,1
246.988424,1
247.024809,1
247.024812,1
247.045933,1
247.061187,1
247.061192,1
247.097575,1
247.133962,1
247.170351,1
247.170365,1
248.01444,1
248.028154,1
248.032645,1
248.064555,1
248.06902,1
248.100932,1
249.004071,1
249.004075,1
249.022265,1
249.040458,1
249.076848,1
249.076852,1
249.113227,1
249.113235,1
250.011903,1
250.03008,1
250.030085,1
250.035721,1
250.048285,1
250.04829,1
250.063542,1
250.080204,1
250.116581,1
250.983342,1
250.983347,1
251.019726,1
251.034977,1
251.056108,1
251.071364,1
251.092503,1
251.092508,1
251.107752,1
251.128882,1
251.128886,1
251.165266,1
251.165273,1
252.027565,1
252.051355,1
252.059463,1
252.063942,1
252.063945,1
252.095849,1
252.132225,1
252.998996,1
252.999,1
253.014243,1
253.035368,1
253.035375,1
253.050628,1
253.071754,1
253.07177,1
253.108145,1
253.123392,1
253.144523,1
254.014452,1
254.022071,1
254.038726,1
254.038732,1
254.043205,1
254.053991,1
254.058455,1
254.067025,1
254.075112,1
254.075118,1
254.1115,1
255.014639,1
255.014645,1
255.029892,1
255.040458,1
255.051025,1
255.05103,1
255.06628,1
255.066285,1
255.087402,1
255.087416,1
255.102662,1
255.123786,1
255.123798,1
255.123802,1
255.139054,1
255.160176,1
255.23296,1
256.0301,1
256.033253,1
256.037717,1
256.054388,1
256.074104,1
256.090783,1
256.127149,1
256.236326,1
256.236334,1
257.00917,1
257.019725,1
257.03029,1
257.030294,1
257.037915,1
257.045542,1
257.066671,1
257.066675,1
257.06668,1
257.081927,1
257.08193,1
257.103054,1
257.118313,1
257.118318,1
257.139431,1
257.154698,1
258.016977,1
258.045738,1
258.045743,1
258.048899,1
258.053366,1
258.05337,1
258.077182,1
258.085291,1
259.024812,1
259.024817,1
259.045941,1
259.045948,1
259.0612,1
259.076442,1
259.082334,1
259.082337,1
259.097579,1
259.097585,1
259.13398,1
260.028159,1
260.028165,1
260.032639,1
260.032645,1
260.056441,1
260.064552,1
260.064557,1
261.004077,1
261.022265,1
261.040457,1
261.061586,1
261.061593,1
261.076841,1
261.09211,1
