mass,intensity,C,O,H,N,assign,numbers,calculated_mass,abs_error,rel_error
187.04008,1.0,11.0,3.0,8.0,0.0,1.0,1.0,188.047345,1.1419999981887585e-05,0.061056432299898426
191.034994,1.0,10.0,4.0,8.0,0.0,1.0,1.0,192.04226,1.0420000012834052e-05,0.05454498044915295
193.050644,1.0,10.0,4.0,10.0,0.0,1.0,1.0,194.05791,1.0420000012834052e-05,0.05397547398409119
195.029907,1.0,9.0,5.0,8.0,0.0,1.0,1.0,196.03717500000002,8.419999989461857e-06,0.043172865736237354
197.009171,1.0,8.0,6.0,6.0,0.0,1.0,1.0,198.01644000000002,7.419999991986614e-06,0.03766322123139442
199.024811,1.0,8.0,6.0,8.0,0.0,1.0,1.0,200.03209,-2.580000011187522e-06,-0.01296320794490051
,,,,,,,,,,
201.092111,1.0,13.0,2.0,14.0,0.0,1.0,1.0,202.09938,7.419999991986614e-06,0.03689851359701831
203.034987,1.0,11.0,4.0,8.0,0.0,1.0,1.0,204.04226,3.4200000020856436e-06,0.01684438752462719
203.071369,1.0,12.0,3.0,12.0,0.0,1.0,1.0,204.078645,4.2000000965991546e-07,0.0020682384312872555
203.107763,1.0,13.0,2.0,16.0,0.0,1.0,1.0,204.11503000000002,9.4199999869371e-06,0.04637932025738031
205.014255,1.0,10.0,5.0,6.0,0.0,1.0,1.0,206.02152500000003,6.419999966089662e-06,0.031314895474413046
205.050636,1.0,11.0,4.0,10.0,0.0,1.0,1.0,206.05791,2.420000004610401e-06,0.01180196292885627
205.087037,1.0,12.0,3.0,14.0,0.0,1.0,1.0,206.094295,1.8420000021057703e-05,0.08981552559588493
207.029901,1.0,10.0,5.0,8.0,0.0,1.0,1.0,208.03717500000002,2.4199999761886914e-06,0.01168913265426665
207.102674,1.0,12.0,3.0,16.0,0.0,1.0,1.0,208.109945,5.419999997036129e-06,0.026170593997430127
209.009165,1.0,9.0,6.0,6.0,0.0,1.0,1.0,210.01644000000002,1.4199999787134487e-06,0.006793960344817648
209.060805,1.0,14.0,2.0,10.0,0.0,1.0,1.0,210.06808,1.4199999787134487e-06,0.006792282172229504
209.081934,1.0,11.0,4.0,14.0,0.0,1.0,1.0,210.08920999999998,4.2000000965991546e-07,0.0020087819240275227
209.118319,1.0,12.0,3.0,18.0,0.0,1.0,1.0,210.125595,4.2000000965991546e-07,0.0020084324112222586
209.118323,1.0,12.0,3.0,18.0,0.0,1.0,1.0,210.125595,4.419999999560886e-06,0.021136359244621938
211.024811,1.0,9.0,6.0,8.0,0.0,1.0,1.0,212.03209,-2.580000011187522e-06,-0.012226050571785715
211.0612,1.0,10.0,5.0,12.0,0.0,1.0,1.0,212.068475,1.4200000071351582e-06,0.006727906441994825
211.097591,1.0,11.0,4.0,16.0,0.0,1.0,1.0,212.10486,7.419999991986614e-06,0.03514961945722353
213.019332,1.0,12.0,4.0,6.0,0.0,1.0,1.0,214.02661,-1.5800000137122794e-06,-0.007417167253685124
213.040461,1.0,9.0,6.0,10.0,0.0,1.0,1.0,214.04774,-2.580000011187522e-06,-0.012110375649194274
213.055718,1.0,13.0,3.0,10.0,0.0,1.0,1.0,214.062995,-5.799999878153272e-07,-0.0027222925216929743
213.076858,1.0,10.0,5.0,14.0,0.0,1.0,1.0,214.08412500000003,9.41999995851539e-06,0.044209399589116294
213.092103,1.0,14.0,2.0,14.0,0.0,1.0,1.0,214.09938,-5.799999878153272e-07,-0.0027218276963333885
213.113228,1.0,11.0,4.0,18.0,0.0,1.0,1.0,214.12051,-5.58000000361325e-06,-0.026183264436373935
