Name,m/z,I,I %,Res.,S/N
FA-HQ-250-NaOD,203.02048,3426041,1.4,1096762,4.1
FA-HQ-250-NaOD,203.2595,3446431,1.4,1329543,4.1
FA-HQ-250-NaOD,203.33241,3557355,1.4,1138654,4.4
FA-HQ-250-NaOD,203.49267,3559542,1.4,811559,4.4
FA-HQ-250-NaOD,203.54308,3381256,1.3,1017023,4.0
FA-HQ-250-NaOD,203.9738,3384731,1.3,1482041,4.0
FA-HQ-250-NaOD,204.01041,3450779,1.4,1269451,4.2
FA-HQ-250-NaOD,204.04125,3411928,1.3,1354137,4.1
FA-HQ-250-NaOD,204.11205,3414932,1.3,980036,4.1
FA-HQ-250-NaOD,204.63306,3424516,1.4,999116,4.1
FA-HQ-250-NaOD,204.63703,3549252,1.4,849683,4.3
FA-HQ-250-NaOD,204.6555,3806093,1.5,776175,4.8
FA-HQ-250-NaOD,204.66761,3586833,1.4,1146518,4.4
FA-HQ-250-NaOD,204.75387,3472121,1.4,1087903,4.2
FA-HQ-250-NaOD,204.79412,4058404,1.6,873308,5.3
FA-HQ-250-NaOD,204.83117,3517620,1.4,1093702,4.3
FA-HQ-250-NaOD,204.90645,3800627,1.5,1083062,4.8
FA-HQ-250-NaOD,204.93902,4078669,1.6,995997,5.4
FA-HQ-250-NaOD,204.98934,3581136,1.4,965381,4.4
FA-HQ-250-NaOD,204.99785,3503244,1.4,828575,4.3
FA-HQ-250-NaOD,205.01423,4645264,1.8,746819,6.5
FA-HQ-250-NaOD,205.05059,6695889,2.6,1020414,10.4
FA-HQ-250-NaOD,205.08700000000002,6098134,2.4,1238745,9.3
FA-HQ-250-NaOD,205.11523,3376045,1.3,1262029,4.0
FA-HQ-250-NaOD,205.18268,3434889,1.4,1076300,4.1
FA-HQ-250-NaOD,205.32404,3374110,1.3,917666,4.0
FA-HQ-250-NaOD,205.32572,3400881,1.3,1382959,4.1
FA-HQ-250-NaOD,205.44029,3710908,1.5,1060948,4.7
FA-HQ-250-NaOD,205.44458999999998,3466654,1.4,1228854,4.2
FA-HQ-250-NaOD,205.47718999999998,3444806,1.4,914415,4.1
FA-HQ-250-NaOD,205.4948,3632797,1.4,1448194,4.5
FA-HQ-250-NaOD,205.55839,3451483,1.4,1248815,4.2
FA-HQ-250-NaOD,205.57303000000002,3736346,1.5,977587,4.7
FA-HQ-250-NaOD,205.59339,4310611,1.7,1224503,5.8
FA-HQ-250-NaOD,205.59555,3628218,1.4,1318939,4.5
FA-HQ-250-NaOD,205.63617,3496150,1.4,1318488,4.2
FA-HQ-250-NaOD,205.64123,3392954,1.3,1232391,4.0
FA-HQ-250-NaOD,205.66273999999999,3678203,1.5,1072752,4.6
FA-HQ-250-NaOD,205.66791,3432433,1.4,913653,4.1
FA-HQ-250-NaOD,205.6909,3399494,1.3,1062705,4.1
FA-HQ-250-NaOD,205.6968,3384567,1.3,1158486,4.0
FA-HQ-250-NaOD,205.80944,3543011,1.4,855918,4.3
FA-HQ-250-NaOD,205.81011999999998,3609902,1.4,1201297,4.5
FA-HQ-250-NaOD,205.81701999999999,3844874,1.5,851790,4.9
FA-HQ-250-NaOD,205.84841,3639677,1.4,1127547,4.5
FA-HQ-250-NaOD,205.85232,3719879,1.5,1235441,4.7
FA-HQ-250-NaOD,205.86164,3547019,1.4,922907,4.3
FA-HQ-250-NaOD,205.88217,3912909,1.5,953268,5.1
FA-HQ-250-NaOD,205.90024,3673128,1.4,1157355,4.6
FA-HQ-250-NaOD,205.92866999999998,3702850,1.5,1099465,4.6
FA-HQ-250-NaOD,205.96055,4208897,1.7,1098424,5.6
FA-HQ-250-NaOD,206.00386,3755876,1.5,1339056,4.7
FA-HQ-250-NaOD,206.01761000000002,3882571,1.5,887256,5.0
