m/z	Intensity	Relative
 200.0019	     13.3	    0.19
 200.0039	      6.4	    0.09
 200.0042	      9.5	    0.13
 200.0048	      6.5	    0.09
 200.0100	     19.5	    0.28
 200.0105	     62.2	    0.88
 200.0115	      6.9	    0.10
 200.0217	     11.9	    0.17
 200.0479	     13.8	    0.20
 200.0496	      6.8	    0.10
 200.0507	     14.8	    0.21
 200.0992	     12.3	    0.18
 200.1420	     11.8	    0.17
 200.1445	      6.6	    0.09
 200.1745	     10.4	    0.15
 200.1932	      5.9	    0.08
 200.2443	      5.4	    0.08
 200.2470	     10.6	    0.15
 200.2729	      6.6	    0.09
 200.2977	     10.6	    0.15
 200.3298	      9.3	    0.13
 200.3303	      9.7	    0.14
 200.3390	      7.0	    0.10
 200.3465	      6.7	    0.09
 200.3586	      7.2	    0.10
 200.4608	      7.5	    0.11
 200.5014	     11.1	    0.16
 200.5027	      6.2	    0.09
 200.5052	      5.9	    0.08
 200.5193	      8.6	    0.12
 200.6248	     13.4	    0.19
 200.6351	      6.9	    0.10
 200.7475	     12.8	    0.18
 200.7535	      5.8	    0.08
 200.7994	     12.6	    0.18
 200.8075	      5.0	    0.07
 200.8392	      8.8	    0.12
 200.9266	      8.9	    0.13
 200.9459	      6.1	    0.09
 200.9490	      4.2	    0.06
 200.9628	     21.0	    0.30
 200.9788	      6.8	    0.10
 200.9789	      6.0	    0.09
 200.9791	      4.6	    0.06
 200.9811	     17.3	    0.25
 200.9826	     11.1	    0.16
 200.9837	    155.5	    2.21
 200.9849	     95.7	    1.36
 200.9858	   3152.1	   44.78
 200.9864	   5922.9	   84.14
 200.9877	    127.3	    1.81
 200.9888	    121.8	    1.73
 200.9900	      5.4	    0.08
 200.9905	      6.1	    0.09
 200.9912	     12.5	    0.18
 200.9918	      4.6	    0.07
 200.9969	      8.6	    0.12
 201.0023	     10.4	    0.15
 201.0030	     25.4	    0.36
 201.0036	      7.2	    0.10
 201.0094	      6.4	    0.09
 201.0194	     65.9	    0.94
 201.0362	      4.5	    0.06
 201.0377	      9.8	    0.14
 201.0405	     76.4	    1.09
 201.0548	      6.6	    0.09
 201.0550	      8.2	    0.12
 201.0552	      8.4	    0.12
 201.0557	     49.6	    0.70
 201.0563	     12.8	    0.18
 201.0740	      5.4	    0.08
 201.0815	     10.9	    0.16
 201.0949	     10.0	    0.14
 201.0984	      5.1	    0.07
 201.1131	     17.8	    0.25
 201.1135	      6.8	    0.10
 201.1150	      8.8	    0.12
 201.1494	     10.3	    0.15
 201.1516	     10.8	    0.15
 201.1953	     11.1	    0.16
 201.2426	      9.1	    0.13
 201.2720	     10.9	    0.15
 201.3380	     13.4	    0.19
 201.3535	     10.2	    0.14
 201.3545	      6.8	    0.10
 201.3867	     13.2	    0.19
 201.3962	     17.8	    0.25
 201.4161	      6.8	    0.10
 201.4567	      7.0	    0.10
 201.5025	      6.0	    0.09
 201.5135	      9.2	    0.13
 201.5413	      6.4	    0.09
 201.6122	     12.1	    0.17
 201.6256	     10.4	    0.15
 201.6276	      6.6	    0.09
 201.6493	      7.5	    0.11
 201.6496	     17.8	    0.25
 201.6754	     14.8	    0.21
 201.6759	      6.9	    0.10
 201.6768	      9.4	    0.13
 201.6918	      8.8	    0.13
 201.7134	      8.1	    0.11
 201.7544	      8.4	    0.12
 201.7884	      6.9	    0.10
 201.7996	      7.1	    0.10
 201.8426	     10.3	    0.15
 201.8590	      7.9	    0.11
 201.9054	      4.2	    0.06
 201.9350	      9.5	    0.14
 201.9646	     11.0	    0.16
 201.9890	     33.9	    0.48
 201.9898	    186.5	    2.65
 201.9903	     12.6	    0.18
 202.0030	      8.9	    0.13
 202.0160	      6.9	    0.10
 202.0270	     18.0	    0.26
 202.0331	      5.3	    0.07
 202.0557	     12.9	    0.18
 202.0720	      8.6	    0.12
 202.0881	     11.4	    0.16
 202.0957	      6.3	    0.09
 202.0965	      6.7	    0.10
 202.1192	      7.7	    0.11
 202.1527	      8.6	    0.12
 202.1614	      5.3	    0.08
 202.1621	      4.9	    0.07
 202.1907	     10.2	    0.14
 202.2319	      5.3	    0.08
 202.2366	     11.2	    0.16
 202.2866	      7.4	    0.11
 202.3345	     12.3	    0.18
 202.3350	     21.2	    0.30
 202.3426	      9.8	    0.14
 202.3604	      7.3	    0.10
 202.4095	      7.3	    0.10
 202.4102	     10.1	    0.14
 202.4247	     10.2	    0.14
 202.4281	      9.3	    0.13
 202.4988	     12.7	    0.18
 202.5300	      9.2	    0.13
 202.5308	      7.3	    0.10
 202.5372	      9.2	    0.13
 202.5438	      9.9	    0.14
 202.5459	      6.2	    0.09
 202.6557	     10.9	    0.15
 202.6695	      5.6	    0.08
 202.6781	     11.2	    0.16
 202.6817	      7.4	    0.11
 202.6989	     10.4	    0.15
 202.7238	     12.2	    0.17
 202.7260	      8.1	    0.12
 202.7317	     13.0	    0.18
 202.7886	      7.3	    0.10
 202.7903	      5.5	    0.08
 202.8530	     13.7	    0.20
 202.8703	     11.5	    0.16
 202.8862	      8.9	    0.13
 202.9174	     15.1	    0.22
 202.9175	     14.9	    0.21
 202.9284	     10.5	    0.15
 202.9293	     10.8	    0.15
 202.9342	      6.3	    0.09
 202.9357	     11.1	    0.16
 202.9359	      5.8	    0.08
 202.9376	     12.3	    0.17
 202.9383	     18.5	    0.26
 202.9387	    216.1	    3.07
 202.9392	     17.6	    0.25
 202.9409	   3187.8	   45.29
 202.9415	   7038.9	  100.00
 202.9425	    162.0	    2.30
 202.9428	     93.0	    1.32
 202.9430	     87.2	    1.24
 202.9439	    209.7	    2.98
 202.9451	      5.6	    0.08
 202.9457	      5.7	    0.08
 202.9465	      6.9	    0.10
 202.9614	     10.9	    0.15
 202.9635	      8.2	    0.12
 202.9649	     21.7	    0.31
 202.9821	     72.3	    1.03
 202.9835	      7.5	    0.11
 202.9907	     16.1	    0.23
 202.9914	     18.1	    0.26
 202.9985	     16.4	    0.23
 202.9988	     14.0	    0.20
 203.0008	     10.0	    0.14
 203.0069	     17.8	    0.25
 203.0122	     22.9	    0.33
 203.0124	     17.8	    0.25
 203.0126	     19.4	    0.27
 203.0191	     20.6	    0.29
 203.0193	     21.4	    0.30
 203.0198	    100.9	    1.43
 203.0273	      7.5	    0.11
 203.0344	     44.6	    0.63
 203.0350	    200.4	    2.85
 203.0463	      7.7	    0.11
 203.0530	     10.2	    0.14
 203.0554	     23.7	    0.34
 203.0562	     95.4	    1.36
 203.0685	      4.1	    0.06
 203.0714	     25.6	    0.36
 203.0727	     14.0	    0.20
 203.1057	     11.1	    0.16
 203.1081	      6.8	    0.10
 203.1524	      4.1	    0.06
 203.1532	     10.4	    0.15
 203.1713	      7.0	    0.10
 203.1974	     10.9	    0.15
 203.2286	      7.4	    0.11
 203.2562	      5.0	    0.07
 203.2863	      7.9	    0.11
 203.3001	      9.9	    0.14
 203.3157	      8.9	    0.13
 203.3164	      6.9	    0.10
 203.3941	      6.6	    0.09
 203.4868	      6.8	    0.10
 203.4930	      5.9	    0.08
 203.4937	      8.1	    0.12
 203.5020	      5.6	    0.08
 203.5124	     13.1	    0.19
 203.5135	     12.6	    0.18
 203.5176	      6.5	    0.09
 203.5181	      8.0	    0.11
 203.5525	      6.0	    0.09
 203.5843	      4.8	    0.07
 203.6134	      8.1	    0.11
 203.6751	      8.3	    0.12
 203.6874	     10.0	    0.14
 203.6898	      9.3	    0.13
 203.6950	      8.7	    0.12
 203.7178	      9.1	    0.13
 203.7285	     10.5	    0.15
 203.7441	      6.9	    0.10
 203.7449	     10.6	    0.15
 203.9173	      6.3	    0.09
 203.9443	     10.4	    0.15
 203.9448	     54.3	    0.77
 203.9737	      7.9	    0.11
 204.0062	      8.6	    0.12
 204.0065	      6.2	    0.09
 204.0069	     10.1	    0.14
 204.0100	      7.2	    0.10
 204.0249	     14.0	    0.20
 204.0296	      7.5	    0.11
 204.0305	     19.8	    0.28
 204.0347	      8.6	    0.12
 204.0383	     19.0	    0.27
 204.0608	      9.7	    0.14
 204.0884	      9.6	    0.14
 204.1119	     12.8	    0.18
 204.1399	      9.6	    0.14
 204.2058	      9.2	    0.13
 204.2137	     10.7	    0.15
 204.2379	      5.5	    0.08
 204.2635	      5.5	    0.08
 204.3206	      9.6	    0.14
 204.3248	      6.5	    0.09
 204.4401	      6.5	    0.09
 204.4422	      6.7	    0.09
 204.4518	      6.4	    0.09
 204.4804	     10.0	    0.14
 204.4821	      6.5	    0.09
 204.4987	      7.0	    0.10
 204.4991	      6.9	    0.10
 204.5003	     12.0	    0.17
 204.5617	     10.4	    0.15
 204.6404	     10.8	    0.15
 204.6421	     18.9	    0.27
 204.6428	      4.9	    0.07
 204.6432	     10.6	    0.15
 204.6556	     11.7	    0.17
 204.6562	      7.7	    0.11
 204.6730	      9.3	    0.13
 204.6741	     19.4	    0.28
 204.6809	     10.9	    0.16
 204.6857	     12.4	    0.18
 204.6871	      4.2	    0.06
 204.6875	      6.1	    0.09
 204.8040	      6.3	    0.09
 204.9458	     16.9	    0.24
 204.9459	     16.0	    0.23
 204.9814	      6.6	    0.09
 204.9840	     10.5	    0.15
 204.9889	    102.1	    1.45
 204.9963	     12.4	    0.18
 204.9981	      6.7	    0.09
 205.0072	     28.7	    0.41
 205.0137	    181.2	    2.57
 205.0143	    631.4	    8.97
 205.0149	     11.2	    0.16
 205.0169	      4.7	    0.07
 205.0210	     19.3	    0.27
 205.0300	      7.7	    0.11
 205.0348	     11.4	    0.16
 205.0354	     14.6	    0.21
 205.0356	     10.3	    0.15
 205.0501	     15.7	    0.22
 205.0507	    137.2	    1.95
 205.0511	      7.9	    0.11
 205.0717	      8.8	    0.12
 205.0748	     11.7	    0.17
 205.0844	     10.4	    0.15
 205.0864	      8.6	    0.12
 205.0869	      8.9	    0.13
 205.1397	     10.5	    0.15
 205.1794	     11.1	    0.16
 205.2302	     10.1	    0.14
 205.2946	      6.1	    0.09
 205.3378	     19.4	    0.28
 205.3854	     10.4	    0.15
 205.4021	      8.0	    0.11
 205.4310	      8.1	    0.12
 205.4865	     13.2	    0.19
 205.4906	     17.1	    0.24
 205.5377	      6.5	    0.09
 205.6153	      4.8	    0.07
 205.6232	     21.1	    0.30
 205.6343	      9.9	    0.14
 205.6428	     10.8	    0.15
 205.6655	     13.3	    0.19
 205.6715	      9.3	    0.13
 205.6736	      8.7	    0.12
 205.7502	     12.0	    0.17
 205.7754	     16.9	    0.24
 205.8046	      8.7	    0.12
 205.8146	     11.9	    0.17
 205.8243	      6.8	    0.10
 205.8449	      7.3	    0.10
 205.9423	      6.0	    0.08
 205.9906	     12.3	    0.18
 205.9949	     12.2	    0.17
 206.0040	     24.3	    0.35
 206.0091	      7.1	    0.10
 206.0093	      7.5	    0.11
 206.0095	      6.8	    0.10
 206.0115	      6.2	    0.09
 206.0120	      7.8	    0.11
 206.0140	      8.7	    0.12
 206.0147	     11.7	    0.17
 206.0179	      9.8	    0.14
 206.0215	      8.7	    0.12
 206.0221	     25.0	    0.35
 206.0257	     11.6	    0.16
 206.0446	      5.7	    0.08
 206.0539	      6.6	    0.09
 206.0582	      6.0	    0.09
 206.0587	      8.1	    0.12
 206.0811	     10.9	    0.15
 206.1411	      9.6	    0.14
 206.1633	      6.8	    0.10
 206.1890	     11.4	    0.16
 206.1950	     10.6	    0.15
 206.2302	      3.9	    0.05
 206.2327	      6.3	    0.09
 206.2749	      7.9	    0.11
 206.2856	      5.1	    0.07
 206.2869	      9.6	    0.14
 206.3021	      7.2	    0.10
 206.3162	     10.5	    0.15
 206.3196	     12.3	    0.17
 206.3349	      7.6	    0.11
 206.3459	     13.5	    0.19
 206.3800	      7.5	    0.11
 206.3883	      7.5	    0.11
 206.4089	     27.0	    0.38
 206.4093	      5.0	    0.07
