mass	z	intensity	Res.	
207.47860		511352	1574355	
207.49391		3285224	1376432	
207.49407		3349435	1336534	
207.53046		585513	1627103	
207.54839		609608	1273344	
207.60610		633403	1853206	
208.00894		1492103	1193961	
208.12714		871784	1312141	
208.51062		570013	1652792	
208.97371		1612888	1263731	
209.00911		569890	944766	
209.01248		539484	1493527	
209.01675		993215	1366086	
209.04551		1005880	1370148	
209.04866		11358028	1195761	
209.04895		805684	2237342	
209.05858		686611	1318678	
209.08191		787673	1413512	
209.08529		849186	1349774	
209.09497		854975	1316434	
209.10306		797412	1463090	
209.15468		847963	1324111	
210.00639		2481140	1262895	
210.02461		618359	1326846	
210.04824		746521	1543331	
210.05199		866774	1252107	
210.50808		615618	1507866	
210.95294		2736358	1263348	
210.97354		1757794	1312338	
210.98918		7928925	1004306	
210.98936		40066548	1231514	
211.01420		657897	1332346	
211.02478		1867700	1211780	
211.02814		1762645	1321480	
211.05145		595458	1155440	
211.06118		965883	997106	
211.09754		6990464	1211793	
211.13392		2171708	1283174	
211.17030		997118	1394337	
211.32381		498846	1584280	
211.66337		490783	1439023	
211.99272		1348539	1204675	
212.01148		519796	1790617	
212.10090		956104	1384185	
212.17813		697703	1147518	
212.19853		514446	1282416	
212.45893		514332	1410812	
212.51311		526230	1078151	
212.71403		509656	1593428	
212.78570		612259	1454266	
212.85469		489413	827916	
212.98514		2227145	1225854	
212.99361		682986	1789925	
213.00404		1433139	1358374	
213.01210		972316	1114191	
213.01930		875916	1231748	
213.04042		957030	1119744	
213.04356		1190452	838985	
213.04381		1119260	1022814	
213.07681		4446297	1172144	
213.11320		2729090	1075943	
213.14959		2430790	1226887	
213.18550		651483	1730637	
213.18597		12567770	1100129	
213.51695		635362	1333298	
213.70190		494545	1389516	
213.87699		491089	1162535	
213.88963		504795	1211218	
213.89569		526357	1083259	
213.89881		528822	1043425	
213.96379		504433	1556835	
214.00423		561443	1102798	
214.00892		1351636	1164727	
214.01946		495477	1435179	
214.02471		513255	1596801	
214.02708		762753	1340819	
214.05898		565237	1436525	
214.08020		514480	1259188	
214.11658		587973	1052552	
