peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S
883,409.006886037,0.004890146306089338,-0.2680443868275794,16.0,N1O10,H7_C19_N_O10,0,19,7,10,1,0
901,411.02259603699997,0.015094623797860762,-0.1209325241637023,15.0,N1O10,H9_C19_N_O10,0,19,9,10,1,0
922,413.038306037,0.005939175116408463,0.024743467686575652,14.0,N1O10,H11_C19_N_O10,0,19,11,10,1,0
1004,423.022766037,0.005165807919356806,0.2843676739325771,16.0,N1O10,H9_C20_N_O10,0,20,9,10,1,0
1021,425.038246037,0.00489848522669589,-0.11711887198565216,15.0,N1O10,H11_C20_N_O10,0,20,11,10,1,0
1099,435.022666037,0.012158622990631432,0.046650442857252054,17.0,N1O10,H9_C21_N_O10,0,21,9,10,1,0
1115,437.038336037,0.011872395530575808,0.09202854019224284,16.0,N1O10,H11_C21_N_O10,0,21,11,10,1,0
1124,438.041646037,0.004541101801906046,-0.010546942310036635,16.0,N1O10,H11_C20_13C_N_O10,0,21,11,10,1,0
1137,439.053926037,0.0071321783810121215,-0.04521995781882912,15.0,N1O10,H13_C21_N_O10,0,21,13,10,1,0
1208,447.022716037,0.006532126717688232,0.15724927948672582,18.0,N1O10,H9_C22_N_O10,0,22,9,10,1,0
1228,449.038296037,0.008188909151639192,4.899360762257082E-4,17.0,N1O10,H11_C22_N_O10,0,22,11,10,1,0
1248,451.054086037,0.00588536609338451,0.3107077495067013,16.0,N1O10,H13_C22_N_O10,0,22,13,10,1,0
1307,459.022696037,0.006281401515744036,0.10956756700460671,19.0,N1O10,H9_C23_N_O10,0,23,9,10,1,0
1324,461.038286037,0.01591989838952195,-0.021212988740756163,18.0,N1O10,H11_C23_N_O10,0,23,11,10,1,0
1341,463.053886037,0.008810418293279275,-0.129259254339782,17.0,N1O10,H13_C23_N_O10,0,23,13,10,1,0
1359,465.06951603699997,0.004358315136031769,-0.17186247912377722,16.0,N1O10,H15_C23_N_O10,0,23,15,10,1,0
1417,473.03826603699997,0.011800430217205284,-0.0629547377352752,19.0,N1O10,H11_C24_N_O10,0,24,11,10,1,0
1437,475.053976037,0.01047049314969116,0.0634580521214637,18.0,N1O10,H13_C24_N_O10,0,24,13,10,1,0
1460,477.069366037,0.006904568312473158,-0.4819592627868051,17.0,N1O10,H15_C24_N_O10,0,24,15,10,1,0
1502,483.022666037,0.004360638482809032,0.042014591551308225,21.0,N1O10,H9_C25_N_O10,0,25,9,10,1,0
1514,485.03826603699997,0.013836666652898325,-0.061397217626612946,20.0,N1O10,H11_C25_N_O10,0,25,11,10,1,0
1529,487.053896037,0.01064572735587804,-0.10235828191157288,19.0,N1O10,H13_C25_N_O10,0,25,13,10,1,0
1546,489.069686037,0.005811196254576829,0.18417007352140458,18.0,N1O10,H15_C25_N_O10,0,25,15,10,1,0
1593,497.038326037,0.00820729431915728,0.06080014046982474,21.0,N1O10,H11_C26_N_O10,0,26,11,10,1,0
1606,499.053916037,0.008453041686107308,-0.05982119172094323,20.0,N1O10,H13_C26_N_O10,0,26,13,10,1,0
1621,501.069386037,0.006537578377124716,-0.41895994007407034,19.0,N1O10,H15_C26_N_O10,0,26,15,10,1,0
1632,503.085056037,0.0047537442773731235,-0.37767371067184974,18.0,N1O10,H17_C26_N_O10,0,26,17,10,1,0
1666,509.038406037,0.009204546730524617,0.21652590209336342,22.0,N1O10,H11_C27_N_O10,0,27,11,10,1,0
1678,511.05393603699997,0.01344744592657758,-0.019281722233166817,21.0,N1O10,H13_C27_N_O10,0,27,13,10,1,0
1697,515.085326037,0.006884624832297922,0.1553101903757154,19.0,N1O10,H17_C27_N_O10,0,27,17,10,1,0
1731,521.038276037,0.005824901127423722,-0.03796266207696348,23.0,N1O10,H11_C28_N_O10,0,28,11,10,1,0
1741,523.053746037,0.010195342370791612,-0.38209075363688944,22.0,N1O10,H13_C28_N_O10,0,28,13,10,1,0
1749,525.069596037,0.008949854648922576,1.3712474483847762E-4,21.0,N1O10,H15_C28_N_O10,0,28,15,10,1,0
1763,529.101046037,0.006403966215037499,0.2833560831021025,19.0,N1O10,H19_C28_N_O10,0,28,19,10,1,0
1773,533.038246037,0.006490683879544142,-0.09338917103362622,24.0,N1O10,H11_C29_N_O10,0,29,11,10,1,0
1778,535.053796037,0.007923895683547084,-0.28007277237981476,23.0,N1O10,H13_C29_N_O10,0,29,13,10,1,0
1789,537.069546037,0.00964630986386268,-0.09296375175521551,22.0,N1O10,H15_C29_N_O10,0,29,15,10,1,0
1817,545.038426037,0.0054847151437236,0.2389189346162494,25.0,N1O10,H11_C30_N_O10,0,30,11,10,1,0
1823,547.053936037,0.008368399986243606,-0.01801284917574482,24.0,N1O10,H13_C30_N_O10,0,30,13,10,1,0
1832,551.085066037,0.008553704301004585,-0.3266319683817525,22.0,N1O10,H17_C30_N_O10,0,30,17,10,1,0
1839,553.100836037,0.0056104889931453735,-0.1086167223769302,21.0,N1O10,H19_C30_N_O10,0,30,19,10,1,0
1857,561.069486037,0.008162890199991907,-0.1959258214017757,24.0,N1O10,H15_C31_N_O10,0,31,15,10,1,0
1862,563.085176037,0.007106629844998214,-0.12431866952789969,23.0,N1O10,H17_C31_N_O10,0,31,17,10,1,0
1884,575.085146037,0.006356597406041906,-0.17389077190199798,24.0,N1O10,H17_C32_N_O10,0,32,17,10,1,0
1887,577.100686037,0.005458235515897048,-0.36401966782074463,23.0,N1O10,H19_C32_N_O10,0,32,19,10,1,0
1894,581.132266037,0.005761097963567704,0.12006905159119881,21.0,N1O10,H23_C32_N_O10,0,32,23,10,1,0
1901,589.101076037,0.006095385733860528,0.3054212720482504,24.0,N1O10,H19_C33_N_O10,0,33,19,10,1,0
489,356.060836037,0.00462410776045245,0.45879238454607457,3.0,N1O10S1,H17_C10_13C_N_O10_S,0,11,17,10,1,1
1036,427.017596037,0.004717670800278312,0.08349538828833801,15.0,N1O11,H9_C19_N_O11,0,19,9,11,1,0
1135,439.017736037,0.005318460714223525,0.4001068423202368,16.0,N1O11,H9_C20_N_O11,0,20,9,11,1,0
1154,441.033346037,0.005980766481227688,0.3074143967204711,15.0,N1O11,H11_C20_N_O11,0,20,11,11,1,0
1247,451.017646037,0.006022901307586092,0.18991274696416427,17.0,N1O11,H9_C21_N_O11,0,21,9,11,1,0
1266,453.03333603699997,0.005607813565102136,0.2771981441200675,16.0,N1O11,H11_C21_N_O11,0,21,11,11,1,0
1339,463.017526037,0.006371873252836284,-0.07417861747882788,18.0,N1O11,H9_C22_N_O11,0,22,9,11,1,0
1396,469.064596037,0.005014365738635607,0.18213269710283317,15.0,N1O11,H15_C22_N_O11,0,22,15,11,1,0
1457,477.033236037,0.00935189395776646,0.05362309807088008,18.0,N1O11,H11_C23_N_O11,0,23,11,11,1,0
1472,479.048906037,0.005364106126814855,0.09499238903497276,17.0,N1O11,H13_C23_N_O11,0,23,13,11,1,0
1528,487.017516037,0.005356839520105502,-0.09105627305871929,20.0,N1O11,H9_C24_N_O11,0,24,9,11,1,0
1544,489.033136037,0.007400825152458906,-0.15217782700554267,19.0,N1O11,H11_C24_N_O11,0,24,11,11,1,0
1559,491.04882603699997,0.005388201536275974,-0.0702455604155119,18.0,N1O11,H13_C24_N_O11,0,24,13,11,1,0
1619,501.033076037,0.008857248510462741,-0.2682856809735548,20.0,N1O11,H11_C25_N_O11,0,25,11,11,1,0
1686,513.033336037,0.005495001468178879,0.24477941531223588,21.0,N1O11,H11_C26_N_O11,0,26,11,11,1,0
1695,515.049056037,0.007153806786747896,0.37958714374226604,20.0,N1O11,H13_C26_N_O11,0,26,13,11,1,0
1710,517.064616037,0.00599815578956332,0.20390488281571004,19.0,N1O11,H15_C26_N_O11,0,26,15,11,1,0
1755,527.048936037,0.00737713344337053,0.14326183939937756,21.0,N1O11,H13_C27_N_O11,0,27,13,11,1,0
1761,529.064536037,0.008547115073328384,0.04806975009130028,20.0,N1O11,H15_C27_N_O11,0,27,15,11,1,0
1803,541.064446037,0.0063161879239785855,-0.11933513732717486,21.0,N1O11,H15_C28_N_O11,0,28,15,11,1,0
1831,551.048826037,0.006119158280417995,-0.06259699375022126,23.0,N1O11,H13_C29_N_O11,0,29,13,11,1,0
1838,553.064466037,0.008624302681991169,-0.08058373437101407,22.0,N1O11,H15_C29_N_O11,0,29,15,11,1,0
1861,563.049026037,0.007470564026620535,0.2939459840561291,24.0,N1O11,H13_C30_N_O11,0,30,13,11,1,0
1867,567.080296037,0.005468829607102114,0.2386928289089164,22.0,N1O11,H17_C30_N_O11,0,30,17,11,1,0
1886,577.064776037,0.007702111756455024,0.4599691594673626,24.0,N1O11,H15_C31_N_O11,0,31,15,11,1,0
1904,591.080236037,0.006002407548253801,0.1274919975483191,24.0,N1O11,H17_C32_N_O11,0,32,17,11,1,0
1377,467.012506037,0.004324159844423363,0.06640935649503452,17.0,N1O12,H9_C21_N_O12,0,21,9,12,1,0
1654,507.043806037,0.0044979306976306406,0.06087442478132791,18.0,N1O12,H13_C24_N_O12,0,24,13,12,1,0
1667,509.059536037,0.005377885506485667,0.21764055506997976,17.0,N1O12,H15_C24_N_O12,0,24,15,12,1,0
1708,517.028286037,0.005201202556500349,0.3112789076743742,20.0,N1O12,H11_C25_N_O12,0,25,11,12,1,0
1767,531.043596037,0.005204109783551336,-0.33732447069651345,20.0,N1O12,H13_C26_N_O12,0,26,13,12,1,0
1809,543.043766037,0.005469352128814962,-0.016820007169514303,21.0,N1O12,H13_C27_N_O12,0,27,13,12,1,0
1847,557.059516037,0.005837436291832344,0.16298438014213357,21.0,N1O12,H15_C28_N_O12,0,28,15,12,1,0
1889,579.0435460369999,0.007436025487493011,-0.3957111716714457,24.0,N1O12,H13_C30_N_O12,0,30,13,12,1,0
1893,581.059286037,0.005630253267365037,-0.23957624189024382,23.0,N1O12,H15_C30_N_O12,0,30,15,12,1,0
1816,545.022786037,0.004767104860517329,-0.4654851256310566,21.0,N1O13,H11_C26_N_O13,0,26,11,13,1,0
1877,571.038666037,0.004929140645470887,-0.04163290766403059,22.0,N1O13,H13_C28_N_O13,0,28,13,13,1,0
1921,637.085766037,0.00838217595710548,0.19778184792627812,24.0,N1O13,H19_C33_N_O13,0,33,19,13,1,0
777,395.040306037,0.003947187455587785,-0.4550067352902553,23.0,N1O1S1,H9_C27_N_O_S,0,27,9,1,1,1
1213,447.071646037,0.004568529565589931,-0.3129118144972693,25.0,N1O1S1,H13_C31_N_O_S,0,31,13,1,1,1
3,211.026906037,0.004117217384472502,-0.175702713400425,10.0,N1O3,H5_C12_N_O3,0,12,5,3,1,0
13,237.042546037,0.0037352846916601464,-0.19891787696306562,11.0,N1O3,H7_C14_N_O3,0,14,7,3,1,0
16,239.058196037,0.004183126705279193,-0.19755022335029518,10.0,N1O3,H9_C14_N_O3,0,14,9,3,1,0
36,253.073846037,0.0043246073723395865,-0.18690196852154817,10.0,N1O3,H11_C15_N_O3,0,15,11,3,1,0
56,263.058306037,0.005068380264141222,0.23863150705934422,12.0,N1O3,H9_C16_N_O3,0,16,9,3,1,0
93,277.073886037,0.0035653906281602247,-0.026346762942369546,12.0,N1O3,H11_C17_N_O3,0,17,11,3,1,0
130,287.058286037,0.004996600487371439,0.14900806591671048,14.0,N1O3,H9_C18_N_O3,0,18,9,3,1,0
146,293.105156037,0.0033063089745920832,-0.1277630202989942,11.0,N1O3,H15_C18_N_O3,0,18,15,3,1,0
242,313.073916037,0.005496368887535525,0.07250683906328181,15.0,N1O3,H11_C20_N_O3,0,20,11,3,1,0
19,241.037516037,0.0033868664343759463,0.034052790337218655,10.0,N1O4,H7_C13_N_O4,0,13,7,4,1,0
