peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
2563,376.071796037,0.010259096090452573,0.0723638420719057,24.0,N1O1,H9_C27_13C_N_O,0,28,9,1,1,0
2848,388.071796037,0.018115160664222557,0.07012619915703623,25.0,N1O1,H9_C28_13C_N_O,0,29,9,1,1,0
2908,390.087446037,0.008410610308389046,0.06957414374293128,24.0,N1O1,H11_C28_13C_N_O,0,29,11,1,1,0
3226,402.087456037,0.013093440956283313,0.09236796487932715,25.0,N1O1,H11_C29_13C_N_O,0,30,11,1,1,0
3293,404.10308603699997,0.006007578791706461,0.04223179824096803,24.0,N1O1,H13_C29_13C_N_O,0,30,13,1,1,0
3640,416.103106037,0.007779044332850674,0.08907888325428526,25.0,N1O1,H13_C30_13C_N_O,0,31,13,1,1,0
3708,418.118736037,0.002418435564866447,0.04063917394072166,24.0,N1O1,H15_C30_13C_N_O,0,31,15,1,1,0
3931,426.087456037,0.010644197295049139,0.08716520397732269,27.0,N1O1,H11_C31_13C_N_O,0,32,11,1,1,0
3991,428.103096037,0.006931821682738224,0.06322308873777385,26.0,N1O1,H13_C31_13C_N_O,0,32,13,1,1,0
4357,440.103096037,0.00509873994885856,0.06149922659800489,27.0,N1O1,H13_C32_13C_N_O,0,33,13,1,1,0
4419,442.11875603699997,0.003958840383252719,0.08366982736215652,26.0,N1O1,H15_C32_13C_N_O,0,33,15,1,1,0
4656,450.087456037,0.005268184478881051,0.0825172964042581,29.0,N1O1,H11_C33_13C_N_O,0,34,11,1,1,0
1162,313.007006037,0.002202778890292369,0.03312385922753212,8.0,N1O10,H7_C11_N_O10,0,11,7,10,1,0
1442,327.022646037,0.004682830647894267,8.990203607702995E-4,8.0,N1O10,H9_C12_N_O10,0,12,9,10,1,0
1483,329.038296037,0.004713638744261992,6.686151935557317E-4,7.0,N1O10,H11_C12_N_O10,0,12,11,10,1,0
