Name,m/z,I,I %,Res.,S/N
FA-NaOD,202.67088999999999,3447745,0.9,1115073,4.2
FA-NaOD,203.10775,3802265,1.0,1533879,4.8
FA-NaOD,203.42391999999998,3367825,0.9,1253658,4.0
FA-NaOD,203.56025,3368034,0.9,1146704,4.0
FA-NaOD,203.87564,3475154,0.9,909487,4.2
FA-NaOD,203.89776,3568984,1.0,1143686,4.4
FA-NaOD,204.00338,3399039,0.9,1029563,4.1
FA-NaOD,204.0147,3390673,0.9,724471,4.0
FA-NaOD,204.07965,3778517,1.0,1128498,4.8
FA-NaOD,204.19146,3872260,1.0,1381461,5.0
FA-NaOD,204.2333,3373988,0.9,996444,4.0
FA-NaOD,204.29838,3491336,0.9,1088582,4.2
FA-NaOD,204.47535,3466326,0.9,1077530,4.2
FA-NaOD,204.50483,3546538,0.9,1199600,4.4
FA-NaOD,204.62421,3796669,1.0,906366,4.8
FA-NaOD,204.68099999999998,3459922,0.9,1189264,4.2
FA-NaOD,204.6957,3439096,0.9,703715,4.1
FA-NaOD,204.80229,3598213,1.0,999910,4.5
FA-NaOD,204.91346000000001,3376995,0.9,1263338,4.0
FA-NaOD,205.01424,4601174,1.2,854168,6.4
FA-NaOD,205.05063,6728731,1.8,1264685,10.5
FA-NaOD,205.06779,3725586,1.0,1110486,4.7
FA-NaOD,205.08699,8682004,2.3,922622,14.3
FA-NaOD,205.1079,3375751,0.9,1157573,4.0
FA-NaOD,205.15237,3750621,1.0,1149941,4.7
FA-NaOD,205.15436,3576789,1.0,1151506,4.4
FA-NaOD,205.18256,3538273,0.9,1289251,4.3
FA-NaOD,205.29973,3555669,0.9,1114032,4.4
FA-NaOD,205.31308,3672587,1.0,1325839,4.6
FA-NaOD,205.43204,3540834,0.9,807719,4.3
FA-NaOD,205.50262,3611887,1.0,693857,4.5
FA-NaOD,205.56026,3968999,1.1,990531,5.2
FA-NaOD,205.64338999999998,3777302,1.0,1241788,4.8
FA-NaOD,205.67878000000002,3609830,1.0,1120547,4.5
FA-NaOD,205.68361000000002,3962630,1.1,1221455,5.2
FA-NaOD,205.68885,3742435,1.0,969575,4.7
FA-NaOD,205.70318,3515347,0.9,1046414,4.3
FA-NaOD,205.78242,3821972,1.0,1113634,4.9
FA-NaOD,205.82211999999998,3700595,1.0,1202263,4.6
FA-NaOD,205.82467,3398824,0.9,1067161,4.1
FA-NaOD,205.83576000000002,3369487,0.9,1207099,4.0
FA-NaOD,205.8413,3549726,0.9,855603,4.4
FA-NaOD,205.85013,3366917,0.9,1592872,4.0
FA-NaOD,205.87291000000002,3700910,1.0,1152862,4.7
FA-NaOD,205.93265,3477058,0.9,1116841,4.2
FA-NaOD,205.985,3697313,1.0,1284320,4.6
FA-NaOD,205.98787,3412805,0.9,1195733,4.1
FA-NaOD,206.03874,4587336,1.2,1014051,6.4
FA-NaOD,206.07519,3858798,1.0,823160,5.0
FA-NaOD,206.09035,3478547,0.9,1089777,4.2
FA-NaOD,206.11348,3776835,1.0,928080,4.8
FA-NaOD,206.18931,3441252,0.9,902283,4.1
FA-NaOD,206.20043,3777819,1.0,1186219,4.8
FA-NaOD,206.22471000000002,3384530,0.9,1363472,4.0
FA-NaOD,206.23761000000002,4893120,1.3,743554,7.0
FA-NaOD,206.29535,3775430,1.0,1151529,4.8
FA-NaOD,206.29776999999999,3962785,1.1,959672,5.2
FA-NaOD,206.31016,3392087,0.9,977183,4.1
FA-NaOD,206.32914,3396828,0.9,1301837,4.1
FA-NaOD,206.45417,3653521,1.0,1037071,4.6
FA-NaOD,206.46437,4210742,1.1,786173,5.6
FA-NaOD,206.49896999999999,3585457,1.0,1047356,4.4
FA-NaOD,206.53066,3644825,1.0,979592,4.5
FA-NaOD,206.53534,3376248,0.9,1437189,4.0
FA-NaOD,206.54232,3918915,1.0,945726,5.1
FA-NaOD,206.56374,3626832,1.0,748614,4.5
FA-NaOD,206.5725,3420922,0.9,727533,4.1
FA-NaOD,206.59158,3470649,0.9,1122124,4.2
FA-NaOD,206.62376,3554321,0.9,1033896,4.4
FA-NaOD,206.63062,4637328,1.2,945232,6.5
FA-NaOD,206.63355,3523056,0.9,1261387,4.3
FA-NaOD,206.63433,3613191,1.0,737206,4.5
FA-NaOD,206.65818000000002,3487970,0.9,817584,4.2
FA-NaOD,206.66869,3895134,1.0,982756,5.0
FA-NaOD,206.67012,3449808,0.9,1280954,4.2
FA-NaOD,206.67382,3672198,1.0,959843,4.6
FA-NaOD,206.6753,3541822,0.9,680651,4.3
FA-NaOD,206.68321,3423824,0.9,1148325,4.1
FA-NaOD,206.76686999999998,4271195,1.1,1070582,5.8
FA-NaOD,206.78144,3536615,0.9,1201461,4.3
FA-NaOD,206.78406999999999,3441284,0.9,1295344,4.1
FA-NaOD,206.83964,3483739,0.9,1182201,4.2
FA-NaOD,206.94166,4071885,1.1,524433,5.4
FA-NaOD,206.95208,3568159,0.9,1114165,4.4
FA-NaOD,206.9578,4104336,1.1,896429,5.4
FA-NaOD,206.96726,3502631,0.9,994341,4.3
FA-NaOD,206.97835,3673791,1.0,919722,4.6
FA-NaOD,206.99227,3795798,1.0,834455,4.8
FA-NaOD,206.99456999999998,3413214,0.9,1194335,4.1
FA-NaOD,207.02988,7172067,1.9,988768,11.4
FA-NaOD,207.04686999999998,4207992,1.1,888657,5.6
FA-NaOD,207.06624,9536644,2.5,1244256,16.0
FA-NaOD,207.10262,6889075,1.8,1011320,10.8
FA-NaOD,207.139,4735254,1.3,994244,6.7
FA-NaOD,207.14346,3605856,1.0,1424822,4.5
FA-NaOD,207.15291000000002,3830225,1.0,1123660,4.9
FA-NaOD,207.15656,3482843,0.9,1114913,4.2
FA-NaOD,207.17287,3585511,1.0,1309235,4.4
FA-NaOD,207.17323000000002,3565360,0.9,866123,4.4
FA-NaOD,207.17869,3502071,0.9,1036168,4.3
FA-NaOD,207.18171,4015959,1.1,935618,5.3
FA-NaOD,207.18702,3450455,0.9,1609092,4.2
FA-NaOD,207.19155,3449712,0.9,852425,4.2
FA-NaOD,207.19203000000002,4183190,1.1,994221,5.6
FA-NaOD,207.19839,3709221,1.0,627764,4.7
FA-NaOD,207.20027,3580451,1.0,807663,4.4
FA-NaOD,207.2024,3582919,1.0,712569,4.4
FA-NaOD,207.22644,3871431,1.0,808994,5.0
FA-NaOD,207.24052,3384192,0.9,1204242,4.0
FA-NaOD,207.24098999999998,3397579,0.9,763200,4.1
FA-NaOD,207.24498,4012928,1.1,796983,5.3
FA-NaOD,207.25223,3488776,0.9,1240815,4.2
FA-NaOD,207.2818,3582375,1.0,1073467,4.4
FA-NaOD,207.29991,3458818,0.9,589214,4.2
FA-NaOD,207.33983999999998,3810495,1.0,813279,4.9
FA-NaOD,207.34886,3750055,1.0,1184431,4.7
FA-NaOD,207.34999,3581342,1.0,699880,4.4
FA-NaOD,207.41933,4121789,1.1,1077899,5.5
FA-NaOD,207.44263999999998,4002849,1.1,913237,5.2
FA-NaOD,207.44451,3514592,0.9,922015,4.3
FA-NaOD,207.45955,3422280,0.9,921874,4.1
FA-NaOD,207.46522,3571710,1.0,643589,4.4
FA-NaOD,207.48375,3562333,0.9,742109,4.4
FA-NaOD,207.53474,3640857,1.0,1213298,4.5
FA-NaOD,207.54138,3607671,1.0,1082565,4.5
FA-NaOD,207.54384,3632061,1.0,1344502,4.5
FA-NaOD,207.54618,4067734,1.1,749023,5.4
FA-NaOD,207.57936,3503494,0.9,1273184,4.3
FA-NaOD,207.59136,3962546,1.1,653724,5.2
FA-NaOD,207.61098,3694831,1.0,1010631,4.6
FA-NaOD,207.61226000000002,3390132,0.9,954052,4.0
FA-NaOD,207.66076999999999,3627691,1.0,1157179,4.5
FA-NaOD,207.66943,3489097,0.9,494957,4.2
FA-NaOD,207.68632,3372011,0.9,1245983,4.0
FA-NaOD,207.74948,3467997,0.9,1019480,4.2
FA-NaOD,207.78226999999998,3598140,1.0,808863,4.5
FA-NaOD,207.78932,3498681,0.9,1130454,4.3
FA-NaOD,207.79058999999998,3414934,0.9,563699,4.1
FA-NaOD,207.7956,3487673,0.9,418159,4.2
FA-NaOD,207.84381000000002,3671426,1.0,1155485,4.6
FA-NaOD,207.86897,4179176,1.1,1104485,5.6
FA-NaOD,207.90295,3841668,1.0,1073547,4.9
FA-NaOD,207.91127,3662525,1.0,1169458,4.6
FA-NaOD,207.92383,3548913,0.9,981944,4.4
FA-NaOD,207.93472,3810996,1.0,948782,4.9
FA-NaOD,207.94138,3645486,1.0,941050,4.5
FA-NaOD,207.9512,3418190,0.9,1305237,4.1
FA-NaOD,207.97823,3407523,0.9,605484,4.1
FA-NaOD,207.99425,3661663,1.0,685152,4.6
FA-NaOD,208.00161,3862924,1.0,953906,5.0
FA-NaOD,208.00835,3576265,1.0,519143,4.4
FA-NaOD,208.01889,3660141,1.0,1384729,4.6
FA-NaOD,208.03563,3805642,1.0,1175762,4.9
FA-NaOD,208.07061000000002,3604692,1.0,725922,4.5
FA-NaOD,208.0725,4130371,1.1,1292301,5.5
FA-NaOD,208.08674,3500645,0.9,993791,4.3
FA-NaOD,208.08993,3389977,0.9,892869,4.0
FA-NaOD,208.09627,3427051,0.9,1001726,4.1
FA-NaOD,208.11112,3441404,0.9,510379,4.1
FA-NaOD,208.11165,3517424,0.9,1308264,4.3
FA-NaOD,208.12698,3843304,1.0,1275141,4.9
FA-NaOD,208.13433,3647203,1.0,834815,4.5
FA-NaOD,208.16324,4088316,1.1,974755,5.4
FA-NaOD,208.17368000000002,3418963,0.9,770481,4.1
FA-NaOD,208.17833000000002,3766880,1.0,1124263,4.8
FA-NaOD,208.1847,4328889,1.2,991411,5.9
FA-NaOD,208.18523000000002,3929574,1.0,1124981,5.1
FA-NaOD,208.18655,3379609,0.9,1161689,4.0
FA-NaOD,208.19482,4333929,1.2,972064,5.9
FA-NaOD,208.19703,4706057,1.3,966875,6.6
FA-NaOD,208.20418999999998,3823052,1.0,1221041,4.9
FA-NaOD,208.24743,4023105,1.1,780115,5.3
FA-NaOD,208.2492,3427028,0.9,1275929,4.1
FA-NaOD,208.2496,3592836,1.0,1180198,4.4
FA-NaOD,208.26131999999998,3690258,1.0,1066146,4.6
FA-NaOD,208.27273,4195248,1.1,782631,5.6
FA-NaOD,208.30135,3832000,1.0,1374664,4.9
FA-NaOD,208.30231,4021743,1.1,814949,5.3
FA-NaOD,208.31373,4060261,1.1,658210,5.3
FA-NaOD,208.31776000000002,3664046,1.0,795316,4.6
FA-NaOD,208.32802,4173418,1.1,762346,5.6
FA-NaOD,208.33019,3416634,0.9,1130911,4.1
FA-NaOD,208.33953,3568546,0.9,1206917,4.4
FA-NaOD,208.34569,3388164,0.9,855993,4.0
FA-NaOD,208.34733,3367369,0.9,563555,4.0
FA-NaOD,208.35173,3460644,0.9,910065,4.2
FA-NaOD,208.43643,3641794,1.0,1326775,4.5
FA-NaOD,208.47165,3964381,1.1,943358,5.2
FA-NaOD,208.47384,4335535,1.2,1254635,5.9
FA-NaOD,208.476,3458994,0.9,464247,4.2
FA-NaOD,208.47941,3528728,0.9,930849,4.3
FA-NaOD,208.4897,3757404,1.0,858925,4.8
FA-NaOD,208.49883,3456316,0.9,879619,4.2
FA-NaOD,208.511,3742051,1.0,888238,4.7
FA-NaOD,208.52961000000002,3976438,1.1,1188200,5.2
FA-NaOD,208.54066,3616497,1.0,1091625,4.5
FA-NaOD,208.54391,3985200,1.1,889679,5.2
FA-NaOD,208.54738999999998,3478051,0.9,1139471,4.2
FA-NaOD,208.55563999999998,3385864,0.9,917685,4.0
FA-NaOD,208.55743999999999,3735830,1.0,1099936,4.7
FA-NaOD,208.56375,3409376,0.9,1379995,4.1
FA-NaOD,208.57674,4055530,1.1,1048283,5.3
FA-NaOD,208.58014,3394261,0.9,645719,4.1
FA-NaOD,208.5928,3561083,0.9,655854,4.4
FA-NaOD,208.59777,3909834,1.0,745514,5.1
FA-NaOD,208.60352,3530628,0.9,1155165,4.3
FA-NaOD,208.61727,4459774,1.2,970800,6.1
FA-NaOD,208.63719,3941306,1.0,931170,5.1
FA-NaOD,208.63942,3795808,1.0,1039569,4.8
FA-NaOD,208.64279,3730622,1.0,996280,4.7
FA-NaOD,208.6625,3499182,0.9,931363,4.3
FA-NaOD,208.66893000000002,3963308,1.1,913821,5.2
FA-NaOD,208.67861000000002,3581608,1.0,822516,4.4
FA-NaOD,208.69777,3546367,0.9,1091231,4.4
FA-NaOD,208.70631,3971988,1.1,964895,5.2
FA-NaOD,208.70979,3987517,1.1,793498,5.2
FA-NaOD,208.74342,3773029,1.0,1037790,4.8
FA-NaOD,208.76314,3423526,0.9,1155060,4.1
FA-NaOD,208.76682,3746097,1.0,1089365,4.7
FA-NaOD,208.76898,3680623,1.0,745116,4.6
FA-NaOD,208.77298000000002,3553125,0.9,633765,4.4
FA-NaOD,208.77788,3441203,0.9,413484,4.1
FA-NaOD,208.79048,4062673,1.1,891171,5.4
FA-NaOD,208.79303000000002,3455958,0.9,977631,4.2
FA-NaOD,208.7994,3396379,0.9,1108412,4.1
FA-NaOD,208.80563999999998,3473104,0.9,661263,4.2
FA-NaOD,208.81193000000002,4792542,1.3,1074476,6.8
FA-NaOD,208.82727,3410471,0.9,604215,4.1
FA-NaOD,208.8403,3390169,0.9,1268934,4.0
FA-NaOD,208.8514,3494223,0.9,1285837,4.3
FA-NaOD,208.86272,3697633,1.0,956253,4.6
FA-NaOD,208.86847,4044832,1.1,1552011,5.3
FA-NaOD,208.88558,3688717,1.0,722761,4.6
FA-NaOD,208.89369,3458650,0.9,941761,4.2
FA-NaOD,208.91201999999998,3790891,1.0,922944,4.8
FA-NaOD,208.91647,3755212,1.0,1166430,4.8
FA-NaOD,208.92692,3440442,0.9,1092739,4.1
FA-NaOD,208.93472,3789753,1.0,1102180,4.8
FA-NaOD,208.94915,3945889,1.1,1139339,5.1
FA-NaOD,208.95526,3369468,0.9,1125333,4.0
FA-NaOD,208.96093,4096747,1.1,681603,5.4
FA-NaOD,208.96135,3832382,1.0,836154,4.9
FA-NaOD,208.96225,3744487,1.0,1112769,4.7
FA-NaOD,208.96792,3661346,1.0,935681,4.6
FA-NaOD,208.98346999999998,3900297,1.0,922635,5.0
FA-NaOD,208.99862,4269696,1.1,1195134,5.8
FA-NaOD,209.01142,3830049,1.0,885374,4.9
FA-NaOD,209.01514,3600488,1.0,1132436,4.5
FA-NaOD,209.02281000000002,3826213,1.0,890944,4.9
FA-NaOD,209.03718,3384774,0.9,1100981,4.0
FA-NaOD,209.04556000000002,6482582,1.7,1473680,10.0
FA-NaOD,209.08196999999998,6085130,1.6,761040,9.3
FA-NaOD,209.09444,3480560,0.9,1061852,4.2
FA-NaOD,209.0953,3488429,0.9,779555,4.2
FA-NaOD,209.1152,3607028,1.0,1169712,4.5
FA-NaOD,209.11629,3454179,0.9,945545,4.2
FA-NaOD,209.12416000000002,3525747,0.9,758279,4.3
FA-NaOD,209.12946000000002,4373040,1.2,1175679,6.0
FA-NaOD,209.13488,3738613,1.0,1051400,4.7
FA-NaOD,209.14793,4186388,1.1,450327,5.6
FA-NaOD,209.17486,3385888,0.9,479666,4.0
FA-NaOD,209.17819,3953516,1.1,1028700,5.1
FA-NaOD,209.18081999999998,3379411,0.9,1181322,4.0
FA-NaOD,209.19054,3922619,1.0,1234985,5.1
FA-NaOD,209.19335,3485282,0.9,556004,4.2
FA-NaOD,209.20564,3591134,1.0,1156489,4.4
FA-NaOD,209.23292,3962825,1.1,996669,5.2
FA-NaOD,209.24315,3610301,1.0,956544,4.5
FA-NaOD,209.25391000000002,3897274,1.0,1258243,5.0
FA-NaOD,209.25599999999997,3517953,0.9,914539,4.3
FA-NaOD,209.27516,3574690,1.0,1291183,4.4
FA-NaOD,209.31792,3526730,0.9,744326,4.3
FA-NaOD,209.32633,3594172,1.0,944002,4.4
FA-NaOD,209.3298,3433126,0.9,969370,4.1
FA-NaOD,209.34147,3828791,1.0,1000215,4.9
FA-NaOD,209.34407,3768581,1.0,713107,4.8
FA-NaOD,209.34882,3709904,1.0,763274,4.7
FA-NaOD,209.36664,3782044,1.0,837503,4.8
FA-NaOD,209.38958,3730462,1.0,941545,4.7
FA-NaOD,209.39371,3759491,1.0,959243,4.8
FA-NaOD,209.41801999999998,4135671,1.1,1062646,5.5
FA-NaOD,209.42789,3507453,0.9,784389,4.3
FA-NaOD,209.43248,4542519,1.2,648119,6.3
FA-NaOD,209.43532,4016518,1.1,970967,5.3
FA-NaOD,209.45394,3498997,0.9,931191,4.3
FA-NaOD,209.45691000000002,4347684,1.2,1143535,5.9
FA-NaOD,209.45888,3607700,1.0,1181755,4.5
FA-NaOD,209.4653,3562336,0.9,1278333,4.4
FA-NaOD,209.47246,3421888,0.9,1034620,4.1
FA-NaOD,209.49712,3470207,0.9,1333612,4.2
FA-NaOD,209.50047,3403325,0.9,1086632,4.1
FA-NaOD,209.5032,4280919,1.1,782659,5.8
FA-NaOD,209.51312,3573562,1.0,1314101,4.4
FA-NaOD,209.53083,3682819,1.0,1178959,4.6
FA-NaOD,209.54196000000002,3524193,0.9,744461,4.3
FA-NaOD,209.54578,3476106,0.9,976674,4.2
FA-NaOD,209.55895,3372378,0.9,1281330,4.0
FA-NaOD,209.5664,3531481,0.9,1346870,4.3
FA-NaOD,209.58962,3580088,1.0,1433039,4.4
FA-NaOD,209.59747,3725455,1.0,1348839,4.7
FA-NaOD,209.60482,3710207,1.0,980754,4.7
FA-NaOD,209.62375,3653460,1.0,1035978,4.6
FA-NaOD,209.63042,3960189,1.1,1043783,5.2
FA-NaOD,209.6393,3666804,1.0,892693,4.6
FA-NaOD,209.65578,3495031,0.9,1086830,4.3
FA-NaOD,209.67136000000002,3449333,0.9,656888,4.2
FA-NaOD,209.67442,3379608,0.9,1050185,4.0
FA-NaOD,209.68005,3465142,0.9,876431,4.2
FA-NaOD,209.68368999999998,3688410,1.0,989757,4.6
FA-NaOD,209.7032,3625676,1.0,1243031,4.5
FA-NaOD,209.70786999999999,4193211,1.1,1178020,5.6
FA-NaOD,209.7421,3791679,1.0,1576552,4.8
FA-NaOD,209.74488,3394062,0.9,570376,4.1
FA-NaOD,209.75507000000002,4056795,1.1,1004197,5.3
FA-NaOD,209.77847000000003,3433219,0.9,1395972,4.1
FA-NaOD,209.7912,3843494,1.0,1156284,4.9
FA-NaOD,209.82162999999997,3592748,1.0,566411,4.4
FA-NaOD,209.82692999999998,3422128,0.9,852062,4.1
FA-NaOD,209.84292000000002,3671399,1.0,533195,4.6
FA-NaOD,209.85627000000002,3514916,0.9,794537,4.3
FA-NaOD,209.87551000000002,3502233,0.9,1101477,4.3
FA-NaOD,209.87807999999998,3577863,1.0,1195168,4.4
FA-NaOD,209.87902000000003,4440479,1.2,1138724,6.1
FA-NaOD,209.90106,3387539,0.9,935615,4.0
FA-NaOD,209.921,3482829,0.9,1201711,4.2
FA-NaOD,209.92432000000002,3542335,0.9,876167,4.3
FA-NaOD,209.93099999999998,3899371,1.0,1162972,5.0
FA-NaOD,209.95206000000002,3708378,1.0,936891,4.7
FA-NaOD,209.95316,4533334,1.2,1164634,6.3
FA-NaOD,209.95512999999997,3387968,0.9,1026275,4.0
FA-NaOD,209.96736,4124883,1.1,977161,5.5
FA-NaOD,210.0108,4064769,1.1,1183758,5.4
FA-NaOD,210.01372999999998,4036120,1.1,852200,5.3
