element;mass
Ag;107.8681307744
Al;26.981540999999996
Ar;39.94873964556
As;74.921596
Au;196.96656000000002
B;10.812024334
Ba;137.32665912070001
Be;9.012183
Bi;208.98038799999998
Br;79.9035271174
C;12.011036905000003
Ca;40.08646467096
Cd;112.4115549092
Ce;140.1148684268
Cl;35.452738215000004
Co;58.933198
Cr;51.995925790200005
Cs;132.90543300000002
Cu;63.5456419019
Dy;162.4975405994
Er;167.2557156464
Eu;151.964581926
F;18.998403
Fe;55.84681543720001
Ga;69.72322987999999
Gd;157.23732934830002
Ge;72.632251131
H;1.00797594155
He;4.002606016029
Hf;178.4897907938
Hg;200.58844597600003
Ho;164.930332
I;126.904477
In;114.817882783
Ir;192.216069553
K;39.07570235838
Kr;83.800023907
La;138.9054556831
Li;6.941739555600001
Lu;174.966834634
Mg;24.30685245
Mn;54.93804599999999
Mo;95.9312888724
N;14.0067630295
Na;22.98977
Nb;92.906378
Nd;144.2423496327
Ne;20.190941059000004
Ni;58.687890422799995
O;15.99940530228
Os;190.23978651240003
P;30.973763
Pb;207.216896642
Pd;106.41532483239999
Pr;140.907657
Pt;195.08012588079998
Rb;85.4763628856
Re;186.20672228799998
Rh;102.905503
Ru;101.0697408138
S;32.064389415499996
Sb;121.757993946
Sc;44.955914
Se;78.99327543300001
Si;28.085509989600006
Sm;150.360250402
Sn;118.54892183999999
Sr;87.6166577796
Ta;180.95151289727997
Tb;158.92535
Te;127.59321633256
Th;232.03805400000002
Ti;42.48927437099999
Tl;204.38339775520004
Tm;168.934225
U;238.01937397901997
V;50.941470995
W;183.84890806220002
X;0.11331385290000001
Xe;131.17976466110002
Y;88.905856
Yb;150.6894940888
Zn;65.39636352199999
Zr;91.22134858540001
