,element,mass,abundance,isotop,element_isotop
0,Al,26.981538,100.0,26,Al_26
1,Sb,120.903818,57.21,120,Sb_120
2,Sb,122.904216,42.79,122,Sb_122
3,Ar,35.967546,0.3365,35,Ar_35
4,Ar,37.962732,0.0632,37,Ar_37
5,Ar,39.962383,99.6003,39,Ar_39
6,As,74.921596,100.0,74,As_74
7,Ba,129.90631,0.106,129,Ba_129
8,Ba,131.905056,0.101,131,Ba_131
9,Ba,133.904503,2.417,133,Ba_133
10,Ba,134.905683,6.592,134,Ba_134
11,Ba,135.90457,7.854,135,Ba_135
12,Ba,136.905821,11.232,136,Ba_136
13,Ba,137.905241,71.698,137,Ba_137
14,Be,9.012182,100.0,9,Be_9
15,Bi,208.980383,100.0,208,Bi_208
16,B,10.012937,19.9,10,B_10
17,B,11.009305,80.1,11,B_11
18,Br,78.918338,50.69,78,Br_78
19,Br,80.916291,49.31,80,Br_80
20,Cd,105.906458,1.25,105,Cd_105
21,Cd,107.904183,0.89,107,Cd_107
22,Cd,109.903006,12.49,109,Cd_109
23,Cd,110.904182,12.8,110,Cd_110
24,Cd,111.902757,24.13,111,Cd_111
25,Cd,112.904401,12.22,112,Cd_112
26,Cd,113.903358,28.73,113,Cd_113
27,Cd,115.904755,7.49,115,Cd_115
28,Ca,39.962591,96.941,39,Ca_39
29,Ca,41.958618,0.647,41,Ca_41
30,Ca,42.958767,0.135,42,Ca_42
31,Ca,43.955481,2.086,43,Ca_43
32,Ca,45.953693,0.004,45,Ca_45
33,Ca,47.952534,0.187,47,Ca_47
34,C,12.0,98.93,12,C_12
35,C,13.003355,1.07,13,C_13
36,Ce,135.907144,0.185,135,Ce_135
37,Ce,137.905986,0.251,137,Ce_137
38,Ce,139.905434,88.45,139,Ce_139
39,Ce,141.90924,11.114,141,Ce_141
40,Cs,132.905447,100.0,132,Cs_132
41,Cl,34.968853,75.78,34,Cl_34
42,Cl,36.965903,24.22,36,Cl_36
43,Cr,49.94605,4.345,49,Cr_49
