element;mass;abundance
Al;26.981538;100.00
Sb;120.903818;57.21
Sb;122.904216;42.79
Ar;35.967546;0.3365
Ar;37.962732;0.0632
Ar;39.962383;99.6003
As;74.921596;100.00
Ba;129.906310;0.106
Ba;131.905056;0.101
Ba;133.904503;2.417
Ba;134.905683;6.592
Ba;135.904570;7.854
Ba;136.905821;11.232
Ba;137.905241;71.698
Be;9.012182;100.00
Bi;208.980383;100.00
B;10.012937;19.9
B;11.009305;80.1
Br;78.918338;50.69
Br;80.916291;49.31
Cd;105.906458;1.25
Cd;107.904183;0.89
Cd;109.903006;12.49
Cd;110.904182;12.80
Cd;111.902757;24.13
Cd;112.904401;12.22
Cd;113.903358;28.73
Cd;115.904755;7.49
Ca;39.962591;96.941
Ca;41.958618;0.647
Ca;42.958767;0.135
Ca;43.955481;2.086
Ca;45.953693;0.004
Ca;47.952534;0.187
C;12.000000;98.93
C;13.003355;1.07
Ce;135.907144;0.185
Ce;137.905986;0.251
Ce;139.905434;88.450
Ce;141.909240;11.114
Cs;132.905447;100.00
Cl;34.968853;75.78
Cl;36.965903;24.22
Cr;49.946050;4.345
Cr;51.940512;83.789
Cr;52.940654;9.501
Cr;53.938885;2.365
Co;58.933200;100.00
Cu;62.929601;69.17
Cu;64.927794;30.83
Dy;155.924278;0.060
Dy;157.924405;0.10
Dy;159.925194;2.34
Dy;160.926930;18.91
Dy;161.926795;25.51
Dy;162.928728;24.90
Dy;163.929171;28.18
Er;161.928775;0.14
Er;163.929197;1.61
Er;165.930290;33.61
Er;166.932045;22.93
Er;167.932368;26.78
Er;169.935460;14.93
Eu;150.919846;47.81
Eu;152.921226;52.19
F;18.998403;100.00
Ga;68.925581;60.108
Ga;70.924705;39.892
Gd;151.919788;0.200
Gd;153.920862;2.18
Gd;154.822619;14.80
Gd;155.922120;20.47
Gd;156.923957;15.65
Gd;157.924101;24.84
Gd;159.927051;21.86
Ge;69.924250;20.84
Ge;71.922076;27.54
Ge;72.923459;7.73
Ge;73.921178;36.50
Ge;75.921403;7.61
Au;196.966552;100.00
Hf;173.940040;0.16
Hf;175.941402;5.26
Hf;176.943220;18.60
Hf;177.943698;27.28
Hf;178.945815;13.62
Hf;179.946549;35.08
He;3.016029;0.000137
He;4.002603;99.999863
Ho;164.930319;100.00
H;1.007825;99.9885
H;2.014102;0.115
In;112.904061;4.29
In;114.903878;95.71
I;126.904468;100.00
Ir;190.960591;37.30
Ir;192.962924;62.70
Fe;53.939615;5.845
Fe;55.934942;91.754
Fe;56.935399;2.119
Fe;57.933280;0.282
Kr;77.920386;0.35
Kr;79.916378;2.28
Kr;81.913485;11.58
Kr;82.914136;11.49
Kr;83.911507;57.00
Kr;85.910610;17.30
La;137.907107;0.09
La;138.906348;99.91
Pb;203.973029;1.4
Pb;205.974449;24.1
Pb;206.975881;22.1
Pb;207.976636;52.40
Li;6.015122;7.59
Li;7.016004;92.41
Lu;174.940768;97.41
Lu;175.942682;2.59
Mg;23.985042;78.99
Mg;24.985837;10.00
Mg;25.982593;11.01
Mn;54.938050;100.00
Hg;195.965815;0.15
Hg;197.966752;9.97
Hg;198.968262;16.87
Hg;199.968309;23.10
Hg;200.970285;13.18
Hg;201.970626;29.86
Hg;203.973476;6.87
Mo;91.906810;14.84
Mo;93.905088;9.25
Mo;94.905841;15.92
Mo;95.904679;16.68
Mo;96.906021;9.55
Mo;97.905408;24.13
Mo;99.907477;9.63
Nd;141.907719;27.2
Nd;142.909810;12.2
Nd;143.910083;23.80
Nd;144.912569;8.3
Nd;145.913112;17.2
Nd;147.916889;5.7
Nd;149.920887;5.6
Ne;19.992440;90.48
Ne;20.993847;0.27
Ne;21.991386;9.25
Ni;57.935348;68.0769
Ni;59.930791;26.2231
Ni;60.931060;1.1399
Ni;61.928349;3.6345
Ni;63.927970;0.9256
Nb;92.906378;100.00
N;14.003074;99.632
N;15.000109;0.368
Os;183.952491;0.02
Os;185.953838;1.59
Os;186.955748;1.96
Os;187.955836;13.24
Os;188.958145;16.15
Os;189.958445;26.26
Os;191.961479;40.78
O;15.994915;99.757
O;16.999132;0.038
O;17.999160;0.205
Pd;101.905608;1.02
Pd;103.904035;11.14
Pd;104.905084;22.33
Pd;105.903483;27.33
Pd;107.903894;26.46
Pd;109.905152;11.72
P;30.973762;100.00
Pt;189.959930;0.014
Pt;191.961035;0.782
Pt;193.962664;32.967
Pt;194.964774;33.832
Pt;195.964935;25.242
Pt;197.967876;7.163
K;38.963707;93.2581
K;39.963999;0.0117
K;40.961826;6.7302
Pr;140.907648;100.00
Re;184.952956;37.40
Re;186.955751;62.60
Rh;102.905504;100.00
Rb;84.911789;72.17
Rb;86.909183;27.83
Ru;95.907598;5.54
Ru;97.905287;1.87
Ru;98.905939;12.76
Ru;99.904220;12.60
Ru;100.905582;17.06
Ru;101.904350;31.55
Ru;103.905430;18.62
Sm;143.911995;3.07
Sm;146.914893;14.99
Sm;147.914818;11.24
Sm;148.917180;13.82
Sm;149.917271;7.38
Sm;151.919728;26.75
Sm;153.922205;22.75
Sc;44.955910;100.00
Se;73.922477;0.89
Se;75.919214;9.37
Se;76.919915;7.63
Se;77.917310;23.77
Se;79.916522;49.61
Se;81.916700;8.73
Si;27.976927;92.2297
Si;28.976495;4.6832
Si;29.973770;3.0872
Ag;106.905093;51.839
Ag;108.904756;48.161
Na;22.989770;100.00
Sr;83.913425;0.56
Sr;85.909262;9.86
Sr;86.908879;7.00
Sr;87.905614;82.58
S;31.972071;94.93
S;32.971458;0.76
S;33.967867;4.29
S;35.967081;0.020
Ta;179.947466;0.012
Ta;180.947996;99.988
Te;119.904020;0.09
Te;121.903047;2.55
Te;122.904273;0.89
Te;123.902819;4.74
Te;124.904425;7.07
Te;125.903306;18.84
Te;127.904461;31.74
