element;mass;abundance
27Al;26.981538;1.0
121Sb;120.903818;0.5721
123Sb;122.904216;0.4279
36Ar;35.967546;0.0033650000000000004
38Ar;37.962732;0.0006320000000000001
40Ar;39.962383;0.9960030000000001
75As;74.921596;1.0
130Ba;129.90631;0.00106
132Ba;131.905056;0.00101
134Ba;133.904503;0.024169999999999997
135Ba;134.905683;0.06591999999999999
136Ba;135.90457;0.07854
137Ba;136.905821;0.11231999999999999
138Ba;137.905241;0.71698
9Be;9.012182;1.0
209Bi;208.980383;1.0
10B;10.012937;0.19899999999999998
11B;11.009305;0.8009999999999999
79Br;78.918338;0.5069
81Br;80.916291;0.49310000000000004
106Cd;105.906458;0.0125
108Cd;107.904183;0.0089
110Cd;109.903006;0.1249
111Cd;110.904182;0.128
112Cd;111.902757;0.2413
113Cd;112.904401;0.1222
114Cd;113.903358;0.2873
116Cd;115.904755;0.07490000000000001
40Ca;39.962591;0.96941
42Ca;41.958618;0.00647
43Ca;42.958767;0.00135
44Ca;43.955481;0.02086
46Ca;45.953693;4e-05
48Ca;47.952534;0.00187
12C;12.0;0.9893000000000001
13C;13.003355;0.010700000000000001
136Ce;135.907144;0.00185
138Ce;137.905986;0.00251
140Ce;139.905434;0.8845000000000001
142Ce;141.90924;0.11114
133Cs;132.905447;1.0
35Cl;34.968853;0.7578
37Cl;36.965903;0.2422
50Cr;49.94605;0.043449999999999996
52Cr;51.940512;0.83789
53Cr;52.940654;0.09501
54Cr;53.938885;0.02365
59Co;58.9332;1.0
63Cu;62.929601;0.6917
65Cu;64.927794;0.30829999999999996
156Dy;155.924278;0.0006
158Dy;157.924405;0.001
160Dy;159.925194;0.023399999999999997
161Dy;160.92693;0.1891
162Dy;161.926795;0.2551
163Dy;162.928728;0.249
164Dy;163.929171;0.2818
162Er;161.928775;0.0014000000000000002
164Er;163.929197;0.0161
166Er;165.93029;0.3361
167Er;166.932045;0.2293
168Er;167.932368;0.26780000000000004
170Er;169.93546;0.1493
151Eu;150.919846;0.4781
153Eu;152.921226;0.5219
19F;18.998403;1.0
69Ga;68.925581;0.60108
71Ga;70.924705;0.39892000000000005
152Gd;151.919788;0.002
154Gd;153.920862;0.0218
155Gd;154.822619;0.14800000000000002
156Gd;155.92212;0.2047
157Gd;156.923957;0.1565
158Gd;157.924101;0.2484
160Gd;159.927051;0.2186
70Ge;69.92425;0.2084
72Ge;71.922076;0.2754
73Ge;72.923459;0.07730000000000001
74Ge;73.921178;0.365
76Ge;75.921403;0.0761
197Au;196.966552;1.0
174Hf;173.94004;0.0016
176Hf;175.941402;0.0526
177Hf;176.94322;0.18600000000000003
178Hf;177.943698;0.2728
179Hf;178.945815;0.1362
180Hf;179.946549;0.3508
3He;3.016029;1.37e-06
4He;4.002603;0.99999863
165Ho;164.930319;1.0
1H;1.007825;0.999885
2H;2.014102;0.00115
113In;112.904061;0.0429
115In;114.903878;0.9571
127I;126.904468;1.0
191Ir;190.960591;0.373
193Ir;192.962924;0.627
54Fe;53.939615;0.058449999999999995
56Fe;55.934942;0.91754
57Fe;56.935399;0.02119
58Fe;57.93328;0.0028199999999999996
78Kr;77.920386;0.0034999999999999996
80Kr;79.916378;0.022799999999999997
82Kr;81.913485;0.1158
83Kr;82.914136;0.1149
84Kr;83.911507;0.57
86Kr;85.91061;0.17300000000000001
138La;137.907107;0.0009
139La;138.906348;0.9991
204Pb;203.973029;0.013999999999999999
206Pb;205.974449;0.24100000000000002
207Pb;206.975881;0.221
208Pb;207.976636;0.524
6Li;6.015122;0.0759
7Li;7.016004;0.9240999999999999
175Lu;174.940768;0.9741
176Lu;175.942682;0.0259
24Mg;23.985042;0.7898999999999999
25Mg;24.985837;0.1
26Mg;25.982593;0.1101
55Mn;54.93805;1.0
196Hg;195.965815;0.0015
198Hg;197.966752;0.09970000000000001
199Hg;198.968262;0.16870000000000002
200Hg;199.968309;0.231
201Hg;200.970285;0.1318
202Hg;201.970626;0.2986
204Hg;203.973476;0.0687
92Mo;91.90681;0.1484
94Mo;93.905088;0.0925
95Mo;94.905841;0.1592
96Mo;95.904679;0.1668
97Mo;96.906021;0.0955
98Mo;97.905408;0.2413
100Mo;99.907477;0.09630000000000001
142Nd;141.907719;0.272
143Nd;142.90981;0.122
144Nd;143.910083;0.23800000000000002
145Nd;144.912569;0.083
146Nd;145.913112;0.172
148Nd;147.916889;0.057
150Nd;149.920887;0.055999999999999994
20Ne;19.99244;0.9048
21Ne;20.993847;0.0027
22Ne;21.991386;0.0925
58Ni;57.935348;0.680769
60Ni;59.930791;0.262231
61Ni;60.93106;0.011399
62Ni;61.928349;0.036345
64Ni;63.92797;0.009256
93Nb;92.906378;1.0
14N;14.003074;0.9963200000000001
15N;15.000109;0.00368
184Os;183.952491;0.0002
186Os;185.953838;0.0159
187Os;186.955748;0.0196
188Os;187.955836;0.1324
189Os;188.958145;0.16149999999999998
190Os;189.958445;0.2626
192Os;191.961479;0.4078
16O;15.994915;0.9975700000000001
17O;16.999132;0.00037999999999999997
18O;17.99916;0.0020499999999999997
102Pd;101.905608;0.0102
104Pd;103.904035;0.1114
105Pd;104.905084;0.22329999999999997
106Pd;105.903483;0.2733
108Pd;107.903894;0.2646
110Pd;109.905152;0.11720000000000001
31P;30.973762;1.0
190Pt;189.95993;0.00014000000000000001
192Pt;191.961035;0.00782
194Pt;193.962664;0.32966999999999996
195Pt;194.964774;0.33832
196Pt;195.964935;0.25242000000000003
198Pt;197.967876;0.07163
39K;38.963707;0.932581
40K;39.963999;0.000117
41K;40.961826;0.067302
141Pr;140.907648;1.0
185Re;184.952956;0.374
187Re;186.955751;0.626
103Rh;102.905504;1.0
85Rb;84.911789;0.7217
87Rb;86.909183;0.2783
96Ru;95.907598;0.0554
98Ru;97.905287;0.0187
99Ru;98.905939;0.1276
100Ru;99.90422;0.126
101Ru;100.905582;0.17059999999999997
102Ru;101.90435;0.3155
104Ru;103.90543;0.1862
144Sm;143.911995;0.030699999999999998
147Sm;146.914893;0.1499
148Sm;147.914818;0.1124
149Sm;148.91718;0.1382
150Sm;149.917271;0.0738
152Sm;151.919728;0.2675
154Sm;153.922205;0.2275
45Sc;44.95591;1.0
74Se;73.922477;0.0089
76Se;75.919214;0.09369999999999999
77Se;76.919915;0.07629999999999999
78Se;77.91731;0.2377
80Se;79.916522;0.4961
82Se;81.9167;0.0873
28Si;27.976927;0.9222969999999999
29Si;28.976495;0.046832000000000006
30Si;29.97377;0.030872
107Ag;106.905093;0.51839
109Ag;108.904756;0.48161000000000004
23Na;22.98977;1.0
84Sr;83.913425;0.005600000000000001
86Sr;85.909262;0.0986
87Sr;86.908879;0.07
88Sr;87.905614;0.8258
32S;31.972071;0.9493
33S;32.971458;0.0076
34S;33.967867;0.0429
36S;35.967081;0.0002
180Ta;179.947466;0.00012
181Ta;180.947996;0.99988
120Te;119.90402;0.0009
122Te;121.903047;0.0255
123Te;122.904273;0.0089
124Te;123.902819;0.047400000000000005
125Te;124.904425;0.0707
126Te;125.903306;0.1884
128Te;127.904461;0.31739999999999996
130Te;129.906223;0.3408
159Tb;158.925343;1.0
203Tl;202.972329;0.29524
205Tl;204.974412;0.7047599999999999
232Th;232.03805;1.0
169Tm;168.934211;1.0
112Sn;111.904821;0.0097
114Sn;113.902782;0.0066
115Sn;114.903346;0.0034000000000000002
116Sn;115.901744;0.1454
117Sn;116.902954;0.0768
118Sn;117.901606;0.2422
119Sn;118.903309;0.0859
120Sn;119.902197;0.3258
122Sn;121.90344;0.0463
124Sn;123.905275;0.0579
46Ti;45.952629;0.0825
47Ti;46.951764;0.07440000000000001
48Ti;47.947871;0.7372
180W;179.946706;0.0012
182W;181.948206;0.265
183W;182.950224;0.1431
184W;183.950933;0.3064
186W;185.954362;0.2843
234U;234.040946;5.4999999999999995e-05
235U;235.043923;0.0072
238U;238.050783;0.992745
50V;49.947163;0.0025
51V;50.943964;0.9975
124Xe;123.905896;0.0009
126Xe;125.904269;0.0009
128Xe;127.90353;0.0192
129Xe;128.904779;0.2644
130Xe;129.903508;0.10439999999999999
131Xe;130.905082;0.2118
132Xe;131.904154;0.26890000000000003
134Xe;133.905395;0.10439999999999999
136Xe;135.90722;0.08869999999999999
168Yb;167.933894;0.0013
170Yb;169.934759;0.0304
171Yb;170.936322;0.14279999999999998
172Yb;171.936378;0.2183
173Yb;172.938207;0.1613
174Yb;173.938858;0.31829999999999997
176Yb;175.942568;0.1276
89Y;88.905848;1.0
64Zn;63.929147;0.4863
66Zn;65.926037;0.27899999999999997
67Zn;66.927131;0.040999999999999995
68Zn;67.924848;0.1875
70Zn;69.925325;0.0062
90Zr;89.904704;0.5145000000000001
91Zr;90.905645;0.11220000000000001
92Zr;91.90504;0.17149999999999999
94Zr;93.906316;0.17379999999999998
96Zr;95.908276;0.027999999999999997
