element;mass;abundance
Al;26.981538;100.0
Sb;120.903818;57.21
Ar;39.962383;99.6003
As;74.921596;100.0
Ba;137.905241;71.698
Be;9.012182;100.0
Bi;208.980383;100.0
B;11.009305;80.1
Br;78.918338;50.69
Cd;113.903358;28.73
Ca;39.962591;96.941
C;12.0;98.93
Ce;139.905434;88.45
Cs;132.905447;100.0
Cl;34.968853;75.78
Cr;51.940512;83.789
Co;58.9332;100.0
Cu;62.929601;69.17
Dy;163.929171;28.18
Er;165.93029;33.61
Eu;152.921226;52.19
F;18.998403;100.0
Ga;68.925581;60.108
Gd;157.924101;24.84
Ge;73.921178;36.5
Au;196.966552;100.0
Hf;179.946549;35.08
He;4.002603;99.999863
Ho;164.930319;100.0
H;1.007825;99.9885
In;114.903878;95.71
I;126.904468;100.0
Ir;192.962924;62.7
Fe;55.934942;91.754
Kr;83.911507;57.0
La;138.906348;99.91
Pb;207.976636;52.4
Li;7.016004;92.41
Lu;174.940768;97.41
Mg;23.985042;78.99
Mn;54.93805;100.0
Hg;201.970626;29.86
Mo;97.905408;24.13
Nd;141.907719;27.2
Ne;19.99244;90.48
Ni;57.935348;68.0769
Nb;92.906378;100.0
N;14.003074;99.632
Os;191.961479;40.78
O;15.994915;99.757
Pd;105.903483;27.33
P;30.973762;100.0
Pt;194.964774;33.832
K;38.963707;93.2581
Pr;140.907648;100.0
Re;186.955751;62.6
Rh;102.905504;100.0
Rb;84.911789;72.17
Ru;101.90435;31.55
Sm;151.919728;26.75
Sc;44.95591;100.0
Se;79.916522;49.61
Si;27.976927;92.2297
Ag;106.905093;51.839
Na;22.98977;100.0
Sr;87.905614;82.58
S;31.972071;94.93
Ta;180.947996;99.988
Te;129.906223;34.08
Tb;158.925343;100.0
Tl;204.974412;70.476
Th;232.03805;100.0
Tm;168.934211;100.0
Sn;119.902197;32.58
Ti;47.947871;73.72
W;183.950933;30.64
U;238.050783;99.2745
V;50.943964;99.75
Xe;131.904154;26.89
Yb;173.938858;31.83
Y;88.905848;100.0
Zn;63.929147;48.63
Zr;89.904704;51.45
