peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
1971,361.006966037,5.007476782622383E-4,-0.08208151862770052,12.0,N1O10,H7_C15_N_O10,0,15,7,10,1,0
2172,375.022616037,4.1614198016685027E-4,-0.07921122287140428,12.0,N1O10,H9_C16_N_O10,0,16,9,10,1,0
2289,385.00701603699997,7.565323469227136E-4,0.05290293197668871,14.0,N1O10,H7_C17_N_O10,0,17,7,10,1,0
2311,387.022646037,9.149220840547773E-4,7.596455148832166E-4,13.0,N1O10,H9_C17_N_O10,0,17,9,10,1,0
2453,399.022606037,0.0011648040295923186,-0.09950814664318668,14.0,N1O10,H9_C18_N_O10,0,18,9,10,1,0
2482,401.038256037,6.856996694475051E-4,-0.09919253190906155,13.0,N1O10,H11_C18_N_O10,0,18,11,10,1,0
2577,409.006976037,0.0010024791437116324,-0.04799918125143138,16.0,N1O10,H7_C19_N_O10,0,19,7,10,1,0
2606,411.022636037,0.004429993703762002,-0.023614271242963555,15.0,N1O10,H9_C19_N_O10,0,19,9,10,1,0
2619,412.025986037,9.788682512198962E-4,-0.035303598514311,15.0,N1O10,H9_C18_13C_N_O10,0,19,9,10,1,0
2635,413.038296037,0.0010742956083739966,5.326382713246505E-4,14.0,N1O10,H11_C19_N_O10,0,19,11,10,1,0
2665,415.053966037,5.007476782622383E-4,0.04853826645597255,13.0,N1O10,H13_C19_N_O10,0,19,13,10,1,0
2763,423.022636037,0.0017275303006453644,-0.022944398685858177,16.0,N1O10,H9_C20_N_O10,0,20,9,10,1,0
2793,425.038306037,0.0016665354950417125,0.024044891696651482,15.0,N1O10,H11_C20_N_O10,0,20,11,10,1,0
2827,427.053946037,6.404454588383442E-4,3.4187716123143525E-4,14.0,N1O10,H13_C20_N_O10,0,20,13,10,1,0
2855,429.069596037,5.066504013851724E-4,1.6780502520809552E-4,13.0,N1O10,H15_C20_N_O10,0,20,15,10,1,0
2900,433.006976037,4.899260192035259E-4,-0.04533876127986183,18.0,N1O10,H7_C21_N_O10,0,21,7,10,1,0
2925,435.022626037,0.004111246655123564,-0.04529879323438219,17.0,N1O10,H9_C21_N_O10,0,21,9,10,1,0
2939,436.025976037,8.686840862584607E-4,-0.05629481098699372,17.0,N1O10,H9_C20_13C_N_O10,0,21,9,10,1,0
2955,437.038286037,0.0028687234377459472,-0.0223779020814035,16.0,N1O10,H11_C21_N_O10,0,21,11,10,1,0
2969,438.041636037,6.25688651031009E-4,-0.0333758227505722,16.0,N1O10,H11_C20_13C_N_O10,0,21,11,10,1,0
2986,439.053956037,9.080355737446875E-4,0.023108777010225175,15.0,N1O10,H13_C21_N_O10,0,21,13,10,1,0
3015,441.069556037,4.2794742641271837E-4,-0.09052540451231708,14.0,N1O10,H15_C21_N_O10,0,21,15,10,1,0
3060,445.006976037,3.797418542420904E-4,-0.04411616216421762,19.0,N1O10,H7_C22_N_O10,0,22,7,10,1,0
3083,447.022626037,0.0019656067999370376,-0.04408277979982376,18.0,N1O10,H9_C22_N_O10,0,22,9,10,1,0
3106,449.038286037,0.002565716984101999,-0.02177987996763943,17.0,N1O10,H11_C22_N_O10,0,22,11,10,1,0
3134,451.053966037,0.001649811112860066,0.04466427858758592,16.0,N1O10,H13_C22_N_O10,0,22,13,10,1,0
