peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
24,219.068446037,0.014374649005424874,0.14631956624379225,11.0,N1O1,H9_C15_N_O,0,15,9,1,1,0
136,267.068426037,0.015582142371156456,0.04513450034484978,15.0,N1O1,H9_C19_N_O,0,19,9,1,1,0
229,291.068426037,0.012078274615939353,0.04141294261293942,17.0,N1O1,H9_C21_N_O,0,21,9,1,1,0
350,315.068266037,0.012193086132683596,-0.46956807751834917,19.0,N1O1,H9_C23_N_O,0,23,9,1,1,0
794,385.006966037,0.018395877777871352,-0.07696484121445211,14.0,N1O10,H7_C17_N_O10,0,17,7,10,1,0
967,409.007076037,0.01522602831714529,0.1964953779717195,16.0,N1O10,H7_C19_N_O10,0,19,7,10,1,0
980,411.022536037,0.02890934267220841,-0.26690993892217596,15.0,N1O10,H9_C19_N_O10,0,19,9,10,1,0
1054,421.006966037,0.024541186096825082,-0.07038363338636076,17.0,N1O10,H7_C20_N_O10,0,20,7,10,1,0
1066,423.022616037,0.01855090269045237,-0.07022319586365951,16.0,N1O10,H9_C20_N_O10,0,20,9,10,1,0
1140,433.007046037,0.02124859103519409,0.1163214329552433,18.0,N1O10,H7_C21_N_O10,0,21,7,10,1,0
1154,435.02259603699997,0.0356312295303953,-0.11426073146518695,17.0,N1O10,H9_C21_N_O10,0,21,9,10,1,0
1169,437.038216037,0.018900063339699808,-0.1825469650869237,16.0,N1O10,H11_C21_N_O10,0,21,11,10,1,0
1221,445.006916037,0.021877500178406083,-0.1789455333576888,19.0,N1O10,H7_C22_N_O10,0,22,7,10,1,0
1234,447.02259603699997,0.028747619220695637,-0.11119348432882796,18.0,N1O10,H9_C22_N_O10,0,22,9,10,1,0
1296,457.006886037,0.014559160786653364,-0.23989135233801692,20.0,N1O10,H7_C23_N_O10,0,23,7,10,1,0
1308,459.02268603699997,0.06557438558496584,0.08778215369038521,19.0,N1O10,H9_C23_N_O10,0,23,9,10,1,0
1321,461.038296037,0.03306939575522065,4.7718391883391385E-4,18.0,N1O10,H11_C23_N_O10,0,23,11,10,1,0
1385,471.02268603699997,0.04194028914639449,0.08554577341505835,20.0,N1O10,H9_C24_N_O10,0,24,9,10,1,0
1398,473.038316037,0.026778725263054783,0.04274495190280137,19.0,N1O10,H11_C24_N_O10,0,24,11,10,1,0
1413,475.053946037,0.01747075359172444,3.073334975570138E-4,18.0,N1O10,H13_C24_N_O10,0,24,13,10,1,0
1456,483.022576037,0.02907141517909976,-0.14431209519953672,21.0,N1O10,H9_C25_N_O10,0,25,9,10,1,0
1467,485.038326037,0.04262314119700065,0.06230435497509713,20.0,N1O10,H11_C25_N_O10,0,25,11,10,1,0
1483,487.054066037,0.014474318167412722,0.24667897950139056,19.0,N1O10,H13_C25_N_O10,0,25,13,10,1,0
1527,495.022576037,0.028500166660091867,-0.14081377971611317,22.0,N1O10,H9_C26_N_O10,0,26,9,10,1,0
1538,497.038216037,0.02631879770700535,-0.1605107965352482,21.0,N1O10,H11_C26_N_O10,0,26,11,10,1,0
1587,507.022696037,0.017589665124026578,0.09919477056506167,23.0,N1O10,H9_C27_N_O10,0,27,9,10,1,0
1598,509.03826603699997,0.036905026796371955,-0.05850247803363389,22.0,N1O10,H11_C27_N_O10,0,27,11,10,1,0
1607,511.053726037,0.020193396625753684,-0.43019743095720325,21.0,N1O10,H13_C27_N_O10,0,27,13,10,1,0
1648,519.022506037,0.02400461041208924,-0.2691713719583065,24.0,N1O10,H9_C28_N_O10,0,28,9,10,1,0
1655,521.038446037,0.029328829669396907,0.2883088592900397,23.0,N1O10,H11_C28_N_O10,0,28,11,10,1,0
1666,523.054126037,0.019493335590927485,0.34441177493257785,22.0,N1O10,H13_C28_N_O10,0,28,13,10,1,0
1676,525.069426037,0.015178163405787625,-0.3236295841365277,21.0,N1O10,H15_C28_N_O10,0,28,15,10,1,0
1700,531.022876037,0.018234641895776275,0.43367999824563247,25.0,N1O10,H9_C29_N_O10,0,29,9,10,1,0
1709,533.038406037,0.023544560963685388,0.20677684527451307,24.0,N1O10,H11_C29_N_O10,0,29,11,10,1,0
1719,535.053996037,0.03442871712951041,0.0937213821529678,23.0,N1O10,H13_C29_N_O10,0,29,13,10,1,0
1759,545.038376037,0.031535269663563806,0.14718229690450785,25.0,N1O10,H11_C30_N_O10,0,30,11,10,1,0
1768,547.053826037,0.02394638465060554,-0.21908995840269668,24.0,N1O10,H13_C30_N_O10,0,30,13,10,1,0
1801,557.038166037,0.019555295690905812,-0.23298224047252497,26.0,N1O10,H11_C31_N_O10,0,31,11,10,1,0
1807,559.053736037,0.019274001380264697,-0.3753735758537871,25.0,N1O10,H13_C31_N_O10,0,31,13,10,1,0
1840,569.038196037,0.02657669422615863,-0.17534851018608003,27.0,N1O10,H11_C32_N_O10,0,32,11,10,1,0
1852,573.069566037,0.013935531798612556,-0.052224026151884005,25.0,N1O10,H15_C32_N_O10,0,32,15,10,1,0
1904,593.038166037,0.01975080548684028,-0.2188392035866197,29.0,N1O10,H11_C34_N_O10,0,34,11,10,1,0
1934,619.053836037,0.014525457550655138,-0.17745467941687088,30.0,N1O10,H13_C36_N_O10,0,36,13,10,1,0
1475,486.044846037,0.015474073717836486,-0.36327512041693427,15.0,N1O10S1,H15_C21_13C_N_O10_S,0,22,15,10,1,1
1168,437.001886037,0.022366493520424063,-0.055542094296261564,17.0,N1O11,H7_C20_N_O11,0,20,7,11,1,0
1183,439.017436037,0.01716949663776562,-0.28323704195556737,16.0,N1O11,H9_C20_N_O11,0,20,9,11,1,0
1256,451.017716037,0.016338085509924476,0.3451172637955217,17.0,N1O11,H9_C21_N_O11,0,21,9,11,1,0
1270,453.033176037,0.01311463665662126,-0.0759767757431353,16.0,N1O11,H11_C21_N_O11,0,21,11,11,1,0
1320,461.001966037,0.020167699501216486,0.1208845170134605,19.0,N1O11,H7_C22_N_O11,0,22,7,11,1,0
1335,463.017566037,0.03325513754111651,0.012211199914503642,18.0,N1O11,H9_C22_N_O11,0,22,9,11,1,0
1410,475.017586037,0.01861815402672501,0.054006421705731826,19.0,N1O11,H9_C23_N_O11,0,23,9,11,1,0
1423,477.033166037,0.017543816977078474,-0.09311721523209682,18.0,N1O11,H11_C23_N_O11,0,23,11,11,1,0
1481,487.01748603699997,0.03312884044024859,-0.15265570969035008,20.0,N1O11,H9_C24_N_O11,0,24,9,11,1,0
1494,489.033176037,0.026550725614104764,-0.07038377293519096,19.0,N1O11,H11_C24_N_O11,0,24,11,11,1,0
1548,499.017556037,0.015235541461351924,-0.008709112253408358,21.0,N1O11,H9_C25_N_O11,0,25,9,11,1,0
1558,501.033316037,0.021587058400621608,0.2107245100177682,20.0,N1O11,H11_C25_N_O11,0,25,11,11,1,0
1606,511.017436037,0.033855219142507234,-0.24333024899180575,22.0,N1O11,H9_C26_N_O11,0,26,9,11,1,0
