element;mass
Ag;107.86815069743
Al;26.981538
Ar;39.947676594063005
As;74.921596
Au;196.966552
B;10.811027767999999
Ba;137.32688569073002
Be;9.012182000000001
Bi;208.98038300000002
Br;79.90352862430001
C;12.0107358985
Ca;40.07802265518
Cd;112.41155266830002
Ce;140.11572154786003
Cl;35.452538510000004
Co;58.9332
Cr;51.99613763897
Cs;132.905447
Cu;63.54564390189999
Dy;162.4970300387
Er;167.2563010726
Eu;151.96436622200002
F;18.998403
Fe;55.84515013384
Ga;69.72307154608
Gd;157.23731925110002
Ge;72.7753855494
H;1.010025317425
He;4.00260164839362
Hf;178.48497093580002
Hg;200.59914936310003
Ho;164.930319
I;126.904468
In;114.8180858507
Ir;192.21605379099998
K;39.098301439102
Kr;83.7993250788
La;138.9054486831
Li;6.9400370561999996
Lu;174.9667175726
Mg;24.3050518651
Mn;54.93805
Mo;95.93129157939998
N;14.006743088800002
Na;22.98977
Nb;92.906378
Nd;144.23612697800002
Ne;20.180046303900003
Ni;58.693356464998
O;15.99940530471
Os;190.2248610803
P;30.973762
Pb;207.21689158000004
Pd;106.4153280285
Pr;140.907648
Pt;195.07779131503997
Rb;85.4676637502
Re;186.20670567
Rh;102.90550400000001
Ru;101.0649451127
S;32.06608499160001
Sb;121.75978830419999
Sc;44.955909999999996
Se;78.9593889728
Si;28.085413282599
Sm;150.3663440037
Sn;118.7101106395
Sr;87.6166459844
Ta;180.94787593639998
Tb;158.925343
Te;127.6031253845
Th;232.03805
Ti;42.6314736353
Tl;204.38331701508
Tm;168.934211
U;238.02891306696498
V;50.9414719975
W;183.84177867940002
Xe;139.55434375750002
Y;88.90584799999999
Yb;173.03769180209997
Zn;65.3955668951
Zr;91.2236473858
