Name,m/z,I,I %,Res.,S/N
FA-parent,203.25919,3661610,0.8,1103813,4.6
FA-parent,203.46156000000002,3526881,0.8,1012152,4.3
FA-parent,203.59241,3360136,0.7,1068027,4.0
FA-parent,203.70255,3969624,0.9,1071434,5.2
FA-parent,204.0718,4046587,0.9,1027711,5.3
FA-parent,204.09958999999998,3461733,0.7,1046238,4.2
FA-parent,204.44216,3523593,0.8,1192701,4.3
FA-parent,204.66133,3502210,0.8,1426297,4.3
FA-parent,204.75757,3369305,0.7,1034754,4.0
FA-parent,204.83504,4062729,0.9,817484,5.4
FA-parent,204.88891,3501936,0.8,961030,4.3
FA-parent,204.90964,4427121,1.0,1057094,6.1
FA-parent,204.92186,3599126,0.8,506211,4.5
FA-parent,204.92558,3365319,0.7,1330405,4.0
FA-parent,204.9599,3525810,0.8,946289,4.3
FA-parent,205.0114,3978665,0.9,1214882,5.2
FA-parent,205.03685,3382471,0.7,1493257,4.0
FA-parent,205.03773999999999,3594539,0.8,1459375,4.5
FA-parent,205.08706,5072918,1.1,1198286,7.3
FA-parent,205.11383,3483419,0.8,1201883,4.2
FA-parent,205.15601999999998,3614875,0.8,1209960,4.5
FA-parent,205.16737,3412496,0.7,1300679,4.1
FA-parent,205.19836999999998,4138713,0.9,609729,5.5
FA-parent,205.22892,3605835,0.8,1128271,4.5
FA-parent,205.31945,3869480,0.8,1013703,5.0
FA-parent,205.32273,3620183,0.8,917468,4.5
FA-parent,205.33424,3413449,0.7,1338701,4.1
FA-parent,205.34342,3534763,0.8,1183116,4.3
FA-parent,205.34839,3433573,0.7,1178202,4.1
FA-parent,205.41529,3729015,0.8,731317,4.7
FA-parent,205.55806,3496089,0.8,875469,4.3
FA-parent,205.57244,3570142,0.8,1391043,4.4
FA-parent,205.64156,3362224,0.7,1194347,4.0
FA-parent,205.66745,3424196,0.7,1290144,4.1
FA-parent,205.67353,3412550,0.7,1077588,4.1
FA-parent,205.77186,3392184,0.7,842712,4.1
FA-parent,205.77957,3853548,0.8,1241785,5.0
FA-parent,205.78647,3398670,0.7,1128208,4.1
FA-parent,205.78722,3536725,0.8,777451,4.3
FA-parent,205.81224,3526707,0.8,727368,4.3
FA-parent,205.83094,3377364,0.7,1193812,4.0
FA-parent,205.83258999999998,3458797,0.7,1292629,4.2
FA-parent,205.84828000000002,3390038,0.7,656645,4.1
FA-parent,205.86039,3373592,0.7,1015961,4.0
FA-parent,205.86453999999998,3767951,0.8,1148092,4.8
FA-parent,205.90453,3923382,0.8,1101684,5.1
FA-parent,205.92584,3916758,0.8,898543,5.1
FA-parent,205.92664,3604000,0.8,1182098,4.5
FA-parent,205.9323,3738632,0.8,936126,4.7
FA-parent,205.93294,3617877,0.8,951801,4.5
FA-parent,205.99236000000002,3799320,0.8,875806,4.9
FA-parent,206.00608,3563758,0.8,1079981,4.4
FA-parent,206.01725,3375364,0.7,1042156,4.0
FA-parent,206.02249,3379149,0.7,404707,4.0
FA-parent,206.02704,3362631,0.7,844585,4.0
FA-parent,206.04166999999998,3440721,0.7,1381291,4.2
FA-parent,206.1183,3710778,0.8,1371982,4.7
FA-parent,206.12188999999998,3419299,0.7,1099270,4.1
FA-parent,206.16159,3387127,0.7,1291376,4.1
FA-parent,206.1875,3879692,0.8,896810,5.0
FA-parent,206.19368,3648960,0.8,1115988,4.6
FA-parent,206.20533999999998,3379313,0.7,1015757,4.0
FA-parent,206.21008,3546227,0.8,864707,4.4
FA-parent,206.23837,3371573,0.7,1112413,4.0
FA-parent,206.23975,3838678,0.8,680098,4.9
FA-parent,206.24137,3570727,0.8,629493,4.4
FA-parent,206.30172,3530107,0.8,1074786,4.3
FA-parent,206.34863,3693619,0.8,898599,4.7
FA-parent,206.35342,3851084,0.8,592205,5.0
