mass,intensity,assign,C,O,H,N,numbers,O/C,H/C,volume,color
153.66069,561984,False,,,,,1,,,0.4389860383623792,blue
153.98146,797276,False,,,,,1,,,0.6227811338426081,blue
154.10755,597066,False,,,,,1,,,0.4663898580402152,blue
154.14943,7304994,False,,,,,1,,,5.706195152034489,blue
154.9548,589241,False,,,,,1,,,0.460277467384635,blue
154.97377,3608085,False,,,,,1,,,2.818405755723873,blue
154.9938,1132220,False,,,,,1,,,0.8844180125317679,blue
154.9986,859894,True,6.0,5.0,4.0,0.0,1,0.8333333333333334,0.6666666666666666,0.6716943195385985,blue
155.03499,891203,True,7.0,4.0,8.0,0.0,1,0.5714285714285714,1.1428571428571428,0.6961509123865937,blue
156.40346,562771,False,,,,,1,,,0.43960079254077433,blue
157.01426,1361859,True,6.0,5.0,6.0,0.0,1,0.8333333333333334,1.0,1.0637973451524445,blue
157.05064,645765,True,7.0,4.0,10.0,0.0,1,0.5714285714285714,1.4285714285714286,0.5044304091630399,blue
157.06852,610744,False,,,,,1,,,0.47707423879255095,blue
157.12341,2161662,True,9.0,2.0,18.0,0.0,1,0.2222222222222222,2.0,1.6885524101371168,blue
158.99114,1318252,False,,,,,1,,,1.0297343394888168,blue
159.02991,1176356,True,6.0,5.0,8.0,0.0,1,0.8333333333333334,1.3333333333333333,0.9188942392377986,blue
159.04777,642425,False,,,,,1,,,0.5018214143017443,blue
159.06639,600899,True,7.0,4.0,12.0,0.0,1,0.5714285714285714,1.7142857142857142,0.46938395304121705,blue
159.11176,577137,False,,,,,1,,,0.4508225949890895,blue
159.11384,581312,False,,,,,1,,,0.454083838565709,blue
159.34653,609404,False,,,,,1,,,0.4760275163032886,blue
159.65156,589994,False,,,,,1,,,0.46086566293270553,blue
159.68522,592217,False,,,,,1,,,0.4626021286742205,blue
159.70606,566241,False,,,,,1,,,0.4423113351062521,blue
159.83819,630904,False,,,,,1,,,0.49282194430264653,blue
159.9607,561769,False,,,,,1,,,0.43881809408238565,blue
160.04509,569924,False,,,,,1,,,0.4451882596793514,blue
160.06624,573035,False,,,,,1,,,0.4476183743540492,blue
160.07677,581243,True,10.0,1.0,11.0,1.0,1,0.1,1.1,0.4540299401688738,orange
160.09564,561082,False,,,,,1,,,0.43828145352259223,blue
160.37943,613040,False,,,,,1,,,0.47886772747564516,blue
160.40372,699953,False,,,,,1,,,0.54675861681091,blue
160.48252,589973,False,,,,,1,,,0.46084925907279917,blue
160.54811,634667,False,,,,,1,,,0.4957613597706272,blue
160.60166,580889,False,,,,,1,,,0.45375341795902396,blue
160.68655,567389,False,,,,,1,,,0.4432080794477992,blue
160.88129,595354,False,,,,,1,,,0.4650525528897547,blue
161.00915,1104254,False,,,,,1,,,0.8625727579536263,blue
161.04557,1042285,True,6.0,5.0,10.0,0.0,1,0.8333333333333334,1.6666666666666667,0.8141665296423607,blue
161.06347,609823,False,,,,,1,,,0.4763548123652296,blue
161.18196,657646,False,,,,,1,,,0.5137110881891037,blue
161.24836,625449,False,,,,,1,,,0.48856084640792574,blue
161.27283,598752,False,,,,,1,,,0.4677068536498393,blue
161.35414,596315,False,,,,,1,,,0.46580322476451674,blue
161.72402,615393,False,,,,,1,,,0.48070574092134233,blue
161.75001,626352,False,,,,,1,,,0.4892662123838988,blue
161.87645,561847,False,,,,,1,,,0.4388790227048949,blue
161.88464,608836,False,,,,,1,,,0.4755838309496312,blue
162.0057,642461,False,,,,,1,,,0.5018495352044409,blue
162.21588,614371,False,,,,,1,,,0.4799074197392333,blue
162.44415,565882,False,,,,,1,,,0.4420309072154721,blue
162.48717,602000,False,,,,,1,,,0.4702439839820214,blue
