,peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S,assign
0,0,206.021486037,0.0030675482050458,-0.1814616557901646,7.0,O5,H6_C10_O5,0,10,6,5,0,0,True
1,1,208.000796037,0.0030661608198082,0.0386969671585597,7.0,O6,H4_C9_O6,0,9,4,6,0,0,True
2,2,210.161936037,0.0041582910973059,-0.2096335845940205,2.0,O2,H22_C13_O2,0,13,22,2,0,0,True
3,3,211.026906037,0.0041172173844725,-0.175702713400425,10.0,N1O3,H5_C12_N_O3,0,12,5,3,1,0,True
4,4,220.037176037,0.0033219627122058,0.0115480486552724,7.0,O5,H8_C11_O5,0,11,8,5,0,0,True
5,5,222.161946037,0.0049090491255932,-0.1532980809765206,3.0,O2,H22_C14_O2,0,14,22,2,0,0,True
6,6,226.026596037,0.0046275160824172,-0.0563871695443235,10.0,O4,H6_C13_O4,0,13,6,4,0,0,True
7,7,226.062976037,0.0030190505933192,-0.0807429873190496,9.0,O3,H10_C14_O3,0,14,10,3,0,0,True
8,8,228.042336037,0.0048784394822525,0.3384503129371995,9.0,O4,H8_C13_O4,0,13,8,4,0,0,True
9,9,228.208936037,0.0105876636523273,0.0250691322929817,0.0,O2,H28_C14_O2,0,14,28,2,0,0,True
10,10,230.057876037,0.003919757744013,-0.1429770654379052,8.0,O4,H10_C13_O4,0,13,10,4,0,0,True
11,11,234.161976037,0.0040934083149621,-0.0173256140089101,4.0,O2,H22_C15_O2,0,15,22,2,0,0,True
12,12,236.083796037,0.0034090159009064,0.2808875539273408,10.0,O2,H12_C16_O2,0,16,12,2,0,0,True
13,13,237.042546037,0.0037352846916601,-0.1989178769630656,11.0,N1O3,H7_C14_N_O3,0,14,7,3,1,0,True
14,14,238.026586037,0.0030704900071588,-0.0955565526277101,11.0,O4,H6_C14_O4,0,14,6,4,0,0,True
15,15,238.062966037,0.0034287231993195,-0.1186786860676394,10.0,O3,H10_C15_O3,0,15,10,3,0,0,True
16,16,239.058196037,0.0041831267052791,-0.1975502233502951,10.0,N1O3,H9_C14_N_O3,0,14,9,3,1,0,True
17,17,240.042246037,0.0051319594205527,-0.0534030997340232,10.0,O4,H8_C14_O4,0,14,8,4,0,0,True
18,18,240.208896037,0.0084887669777177,-0.1427049562704967,1.0,O2,H28_C15_O2,0,15,28,2,0,0,True
19,19,241.037516037,0.0033868664343759,0.0340527903372186,10.0,N1O4,H7_C13_N_O4,0,13,7,4,1,0,True
20,20,242.021526037,0.0078439289216548,0.0108048241447435,10.0,O5,H6_C13_O5,0,13,6,5,0,0,True
21,21,242.188156037,0.0045179934861186,-0.1603918236200401,1.0,O3,H26_C14_O3,0,14,26,3,0,0,True
22,22,242.224576037,0.0389345298808502,-0.0179709263183321,0.0,O2,H30_C15_O2,0,15,30,2,0,0,True
23,23,243.227906037,0.0063293805015394,-0.1200232344412624,0.0,O2,H30_C14_13C_O2,0,15,30,2,0,0,True
24,24,244.073506037,0.0032114778578414,-0.2170124928666897,8.0,O4,H12_C14_O4,0,14,12,4,0,0,True
25,25,245.032486037,0.0038091993567702,0.2594268255190655,9.0,N1O5,H7_C12_N_O5,0,12,7,5,1,0,True
26,26,246.016316037,0.003974788094582,-0.4960036877297059,9.0,O6,H6_C12_O6,0,12,6,6,0,0,True
27,27,248.032046037,0.004332882012549,-0.1697320998835994,8.0,O6,H8_C12_O6,0,12,8,6,0,0,True
28,28,248.141236037,0.0037275588696896,-0.0347503710036322,5.0,O3,H20_C15_O3,0,15,20,3,0,0,True
29,29,249.027346037,0.0031311044737402,0.0358514843523051,8.0,N1O6,H7_C11_N_O6,0,11,7,6,1,0,True
30,30,250.011306037,0.0055655759875029,-0.1866515587825563,8.0,O7,H6_C11_O7,0,11,6,7,0,0,True
31,31,250.099326037,0.0033262417413678,-0.2149585960731729,10.0,O2,H14_C17_O2,0,17,14,2,0,0,True
32,32,250.156896037,0.0069516595470266,0.0052087311020571,4.0,O3,H22_C15_O3,0,15,22,3,0,0,True
33,33,252.042246037,0.004054193376945,-0.0508605212302822,11.0,O4,H8_C15_O4,0,15,8,4,0,0,True
34,34,252.078636037,0.003773511562058,-0.0330333427695643,10.0,O3,H12_C16_O3,0,16,12,3,0,0,True
35,35,252.208846037,0.0036561185128954,-0.3341635367533037,2.0,O2,H28_C16_O2,0,16,28,2,0,0,True
36,36,253.073846037,0.0043246073723395,-0.1869019685215481,10.0,N1O3,H11_C15_N_O3,0,15,11,3,1,0,True
37,37,254.021426037,0.0035762019091918,-0.3833731724703514,11.0,O5,H6_C14_O5,0,14,6,5,0,0,True
38,38,254.057906037,0.0060162117635325,-0.0113871677219283,10.0,O4,H10_C15_O4,0,15,10,4,0,0,True
39,39,254.224576037,0.0569722788966196,-0.0171226561818187,1.0,O2,H30_C16_O2,0,16,30,2,0,0,True
40,40,255.053166037,0.0058768479668223,0.0318913900916856,10.0,N1O4,H9_C14_N_O4,0,14,9,4,1,0,True
41,41,255.227926037,0.0116037823602456,-0.0360187857392033,1.0,O2,H30_C15_13C_O2,0,16,30,2,0,0,True
42,42,256.037186037,0.0124053852086994,0.048981166527223,10.0,O5,H8_C14_O5,0,14,8,5,0,0,True
43,43,256.203846037,0.0044357379525112,0.0042192965103379,1.0,O3,H28_C15_O3,0,15,28,3,0,0,True
44,44,256.240226037,1.0,-0.0172767563988791,0.0,O2,H32_C16_O2,0,16,32,2,0,0,True
45,45,257.032446037,0.0060351282182722,0.0916927040952494,10.0,N1O5,H7_C13_N_O5,0,13,7,5,1,0,True
