peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S
1379,353.132306037,0.015122978076818517,0.31086365679739875,2.0,N1O10,H23_C13_N_O10,0,13,23,10,1,0
1429,357.06960603699997,0.014476375296128005,0.02820738544766471,7.0,N1O10,H15_C14_N_O10,0,14,15,10,1,0
1544,365.038186037,0.01701123708687716,-0.3007356605464135,10.0,N1O10,H11_C15_N_O10,0,15,11,10,1,0
1549,365.13210603699997,0.014373895588178181,-0.24709960731181685,3.0,N1O10,H23_C14_N_O10,0,14,23,10,1,0
1572,367.054096037,0.026011944638626744,0.40905687099271343,9.0,N1O10,H13_C15_N_O10,0,15,13,10,1,0
1602,369.069646037,0.02146025695172628,0.1356708701446777,8.0,N1O10,H15_C15_N_O10,0,15,15,10,1,0
1632,371.085356037,0.019238720435745076,0.2964223680112927,7.0,N1O10,H17_C15_N_O10,0,15,17,10,1,0
1666,373.100896037,0.01535495310497495,-2.0369822984793006E-4,6.0,N1O10,H19_C15_N_O10,0,15,19,10,1,0
1693,375.022766037,0.014164415365645267,0.32076452656369714,12.0,N1O10,H9_C16_N_O10,0,16,9,10,1,0
1718,377.038396037,0.029158195463901512,0.26580847211395164,11.0,N1O10,H11_C16_N_O10,0,16,11,10,1,0
1723,377.132156037,0.014975545166802594,-0.10665757170396427,4.0,N1O10,H23_C15_N_O10,0,15,23,10,1,0
1744,379.053946037,0.03446145360013981,3.85169425856764E-4,10.0,N1O10,H13_C16_N_O10,0,16,13,10,1,0
1770,381.06960603699997,0.02854247373684415,0.026430866827393998,9.0,N1O10,H15_C16_N_O10,0,16,15,10,1,0
1798,383.085306037,0.020715792360868384,0.15661785779263834,8.0,N1O10,H17_C16_N_O10,0,16,17,10,1,0
1828,385.100876037,0.021843184444056078,-0.05213179519357107,7.0,N1O10,H19_C16_N_O10,0,16,19,10,1,0
1890,389.038426037,0.031386188541302575,0.33472271966381373,12.0,N1O10,H11_C17_N_O10,0,17,11,10,1,0
1896,389.132086037,0.0157836590741388,-0.28325600464029516,5.0,N1O10,H23_C16_N_O10,0,16,23,10,1,0
1918,391.053966037,0.03190442468639559,0.05151718623717001,11.0,N1O10,H13_C17_N_O10,0,17,13,10,1,0
1942,393.069666037,0.047634046467823994,0.17826865332716954,10.0,N1O10,H15_C17_N_O10,0,17,15,10,1,0
1969,395.085266037,0.03887486528603053,0.05061692168693233,9.0,N1O10,H17_C17_N_O10,0,17,17,10,1,0
1995,397.100976037,0.026412154355508952,0.20126870709546868,8.0,N1O10,H19_C17_N_O10,0,17,19,10,1,0
2024,399.116666037,0.024662001436949008,0.3002881368568892,7.0,N1O10,H21_C17_N_O10,0,17,21,10,1,0
2052,401.038306037,0.025198059876111692,0.0254838498589747,13.0,N1O10,H11_C18_N_O10,0,18,11,10,1,0
2056,401.13219603699997,0.018263810002330187,-5.584194456263032E-4,6.0,N1O10,H23_C17_N_O10,0,17,23,10,1,0
2080,403.05393603699997,0.02342286957745932,-0.024448340928563583,12.0,N1O10,H13_C18_N_O10,0,18,13,10,1,0
2102,405.069656037,0.026102888704415704,0.14830041983677175,11.0,N1O10,H15_C18_N_O10,0,18,15,10,1,0
2127,407.085246037,0.03470458197405724,-4.913063571052994E-6,10.0,N1O10,H17_C18_N_O10,0,18,17,10,1,0
2149,409.100976037,0.03096549259194532,0.19536497030035727,9.0,N1O10,H19_C18_N_O10,0,18,19,10,1,0
2177,411.116596037,0.014985035826634043,0.12125513910049089,8.0,N1O10,H21_C18_N_O10,0,18,21,10,1,0
2204,413.132366037,0.014526613897627093,0.41094819472894967,7.0,N1O10,H23_C18_N_O10,0,18,23,10,1,0
2228,415.053876037,0.01781466027806905,-0.16830104243335942,13.0,N1O10,H13_C19_N_O10,0,19,13,10,1,0
2249,417.069586037,0.03436325803914715,-0.023804181059351222,12.0,N1O10,H15_C19_N_O10,0,19,15,10,1,0
2277,419.085346037,0.03468739684065401,0.2386101087562727,11.0,N1O10,H17_C19_N_O10,0,19,17,10,1,0
2299,421.100956037,0.027971128733154684,0.14230316784581745,10.0,N1O10,H19_C19_N_O10,0,19,19,10,1,0
2319,423.116396037,0.03238990470503709,-0.35486689080628075,9.0,N1O10,H21_C19_N_O10,0,19,21,10,1,0
